session,session_short,tm_system,shot_id,club,tx_order,experimental_tx,shot_type,shot_type_reason,tm_la_deg,tm_ball_mph,ops_ball_mph,lcmf_la_deg,status,error_deg,abs_error_deg
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,89,5Iron,normal,False,good,,15.646999999999995,123.4,120.2,,no_measurement_insufficient_strict_coverage,,
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,90,5Iron,normal,False,good,,12.959999999999992,120.9,118.3,12.619225333802026,accepted,-0.3407746661979658,0.3407746661979658
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,91,5Iron,normal,False,good,,9.892999999999994,105.6,103.0,11.496870321096221,accepted,1.6038703210962275,1.6038703210962275
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,92,5Iron,normal,False,good,,10.917999999999983,107.6,105.2,8.936751669422454,accepted,-1.9812483305775288,1.9812483305775288
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,93,5Iron,normal,False,skull,launch_angle<8,1.5239999999999743,87.0,89.2,0.8088737654360393,accepted,-0.715126234563935,0.715126234563935
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,94,5Iron,normal,False,good,,13.115999999999982,129.6,126.6,12.276100179859474,accepted,-0.8398998201405075,0.8398998201405075
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,95,5Iron,normal,False,good,,14.271999999999982,114.6,111.7,16.07642143536131,accepted,1.8044214353613288,1.8044214353613288
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,96,5Iron,normal,False,good,,14.196999999999997,129.6,126.4,13.414118036645773,accepted,-0.7828819633542246,0.7828819633542246
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,97,5Iron,normal,False,good,,14.368000000000002,127.40000000000002,124.3,12.44419848141286,accepted,-1.9238015185871422,1.9238015185871422
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,98,5Iron,normal,False,good,,14.74200000000001,132.1,128.7,14.685350467935047,accepted,-0.056649532064962926,0.056649532064962926
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,99,5Iron,normal,False,good,,14.71499999999999,130.8,127.5,14.327780703018504,accepted,-0.3872192969814847,0.3872192969814847
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,100,5Iron,normal,False,good,,16.019999999999992,124.2,121.0,,no_measurement_insufficient_strict_coverage,,
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,101,5Iron,normal,False,good,,14.392000000000003,127.7,124.5,15.520321818435145,accepted,1.1283218184351416,1.1283218184351416
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,102,5Iron,normal,False,shank,face_to_path>=8,15.962999999999989,122.2,119.0,,no_measurement_insufficient_strict_coverage,,
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,103,Driver,normal,False,good,,10.004000000000007,148.1,145.2,11.85551748757013,accepted,1.8515174875701241,1.8515174875701241
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,104,Driver,normal,False,good,,17.990000000000002,137.7,134.2,16.744973173216106,accepted,-1.2450268267838958,1.2450268267838958
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,105,Driver,normal,False,skull,launch_angle<8,5.857999999999973,143.9,139.9,6.126831323279583,accepted,0.2688313232796098,0.2688313232796098
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,106,Driver,normal,False,good,,12.557000000000004,154.3,151.0,,no_measurement_insufficient_strict_coverage,,
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,109,Driver,normal,False,good,,17.058999999999973,144.4,140.6,,no_measurement_insufficient_strict_coverage,,
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,110,Driver,normal,False,good,,14.276000000000021,153.1,149.3,,no_measurement_insufficient_strict_coverage,,
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,111,Driver,normal,False,good,,10.58699999999998,147.3,144.1,,no_measurement_insufficient_strict_coverage,,
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,112,Driver,normal,False,good,,10.008999999999974,153.4,150.6,13.391450171809387,accepted,3.3824501718094133,3.3824501718094133
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,113,Driver,normal,False,good,,13.960999999999997,146.6,143.4,14.020694887542533,accepted,0.059694887542535824,0.059694887542535824
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,114,Driver,normal,False,good,,14.620999999999993,153.8,150.2,15.993752243534887,accepted,1.3727522435348938,1.3727522435348938
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,115,SandWedge,normal,False,good,,31.661999999999985,70.1,66.4,31.793230538736907,accepted,0.13123053873692214,0.13123053873692214
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,116,SandWedge,normal,False,good,,29.217000000000002,66.5,69.4,30.940733642977758,accepted,1.7237336429777557,1.7237336429777557
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,117,SandWedge,normal,False,good,,30.729999999999986,75.6,73.9,28.92711268147753,accepted,-1.8028873185224548,1.8028873185224548
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,118,SandWedge,normal,False,good,,33.168000000000006,72.8,70.2,31.94651416494551,accepted,-1.221485835054498,1.221485835054498
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,119,SandWedge,normal,False,good,,26.353999999999992,74.1,71.9,26.73022620138771,accepted,0.37622620138771623,0.37622620138771623
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,120,SandWedge,normal,False,good,,27.744999999999997,69.6,67.4,26.845189142546573,accepted,-0.8998108574534243,0.8998108574534243
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,121,SandWedge,normal,False,good,,24.805000000000007,69.1,66.2,24.881671974025434,accepted,0.07667197402542669,0.07667197402542669
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,122,SandWedge,normal,False,good,,31.036999999999985,69.5,65.9,30.799009235415465,accepted,-0.23799076458452006,0.23799076458452006
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,123,SandWedge,normal,False,good,,29.30099999999999,81.8,77.9,28.84582252714999,accepted,-0.45517747285,0.45517747285
2026-07-14 Block A corrected tilt 12.0,Jul14 Block A,TrackMan 4,124,SandWedge,normal,False,good,,28.975,84.19999999999999,80.3,27.61198663483486,accepted,-1.3630133651651413,1.3630133651651413
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,1,9Iron,normal,False,good,,19.072999999999993,113.8,113.1,20.12,accepted,1.0470000000000077,1.0470000000000077
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,2,9Iron,normal,False,good,,19.63100000000001,109.1,108.9,,rejected_missing_tdm_sign,,
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,3,9Iron,normal,False,good,,19.155999999999995,114.1,113.6,20.95,accepted,1.794000000000004,1.794000000000004
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,4,9Iron,normal,False,good,,20.607999999999993,109.5,109.1,20.55,accepted,-0.057999999999992724,0.057999999999992724
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,5,9Iron,normal,False,good,,20.957999999999984,102.5,102.4,21.64,accepted,0.6820000000000164,0.6820000000000164
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,6,9Iron,normal,False,good,,20.714,114.0,113.9,21.89,accepted,1.176000000000002,1.176000000000002
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,7,9Iron,normal,False,good,,19.871999999999993,108.4,108.1,21.51,accepted,1.6380000000000088,1.6380000000000088
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,8,9Iron,normal,False,good,,19.922999999999977,108.9,109.1,20.2,accepted,0.27700000000002234,0.27700000000002234
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,9,9Iron,normal,False,good,,18.06699999999999,109.3,108.9,18.88,accepted,0.8130000000000095,0.8130000000000095
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,10,9Iron,normal,False,good,,18.641999999999992,98.1,98.4,17.1,accepted,-1.541999999999991,1.541999999999991
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,1,9Iron,reversed,True,good,,21.446999999999985,104.3,104.0,24.45,accepted,3.0030000000000143,3.0030000000000143
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,2,9Iron,reversed,True,good,,20.456,114.3,113.5,,insufficient_channel_snapshots,,
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,3,9Iron,reversed,True,good,,21.337000000000007,112.0,111.7,23.22,accepted,1.882999999999992,1.882999999999992
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,1,9Iron,reversed,True,good,,19.476999999999993,115.5,115.4,17.96,accepted,-1.5169999999999924,1.5169999999999924
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,2,9Iron,reversed,True,good,,17.945000000000014,105.7,105.5,19.32,accepted,1.3749999999999858,1.3749999999999858
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,3,9Iron,reversed,True,good,,20.174999999999986,113.3,112.6,18.71,accepted,-1.4649999999999856,1.4649999999999856
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,4,9Iron,reversed,True,good,,21.15399999999999,114.5,113.8,22.42,accepted,1.2660000000000124,1.2660000000000124
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,5,9Iron,reversed,True,good,,18.210999999999988,113.9,113.3,,rejected_missing_tdm_sign,,
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,6,9Iron,reversed,True,good,,20.345,112.6,112.1,21.26,accepted,0.9150000000000027,0.9150000000000027
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,7,9Iron,reversed,True,good,,22.276999999999997,112.0,111.4,22.46,accepted,0.18300000000000338,0.18300000000000338
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,8,9Iron,reversed,True,shank,launch_direction>=8,8.145999999999997,103.1,103.3,6.62,accepted,-1.5259999999999971,1.5259999999999971
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,9,9Iron,reversed,True,good,,21.63999999999999,107.9,107.2,22.13,accepted,0.4900000000000091,0.4900000000000091
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,10,9Iron,reversed,True,good,,20.869999999999987,110.9,110.4,20.66,accepted,-0.20999999999998664,0.20999999999998664
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,11,9Iron,reversed,True,good,,21.05299999999999,109.7,109.2,,rejected_missing_tdm_sign,,
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,12,9Iron,reversed,True,good,,21.702,111.8,111.2,22.48,accepted,0.7779999999999987,0.7779999999999987
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,13,9Iron,reversed,True,good,,20.416,106.9,106.5,19.31,accepted,-1.1060000000000016,1.1060000000000016
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,14,9Iron,reversed,True,shank,launch_direction>=8,20.733000000000004,105.8,105.7,,rejected_missing_tdm_sign,,
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,15,9Iron,reversed,True,good,,20.308,113.4,112.9,21.09,accepted,0.782,0.782
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,1,9Iron,normal,False,good,,18.680999999999994,118.0,117.3,18.36,accepted,-0.3209999999999944,0.3209999999999944
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,2,9Iron,normal,False,good,,20.624999999999986,115.5,115.2,19.65,accepted,-0.9749999999999872,0.9749999999999872
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,3,9Iron,normal,False,good,,20.003999999999994,117.5,116.5,19.03,accepted,-0.9739999999999931,0.9739999999999931
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,4,9Iron,normal,False,good,,18.554999999999993,117.7,117.0,20.65,accepted,2.095000000000006,2.095000000000006
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,5,9Iron,normal,False,good,,18.57899999999998,117.4,116.5,,rejected_missing_tdm_sign,,
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,6,9Iron,normal,False,shank,launch_direction>=8,2.860999999999996,94.9,92.9,3.6,accepted,0.7390000000000039,0.7390000000000039
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,7,9Iron,normal,False,good,,19.787000000000003,113.1,112.7,20.56,accepted,0.7729999999999961,0.7729999999999961
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,8,9Iron,normal,False,good,,19.459999999999997,100.8,100.6,18.95,accepted,-0.509999999999998,0.509999999999998
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,10,9Iron,normal,False,good,,18.555999999999994,110.1,109.8,16.73,accepted,-1.8259999999999934,1.8259999999999934
2026-07-17 OpenFlight server session,Jul17,TrackMan iO,11,9Iron,normal,False,good,,21.69899999999999,107.6,107.1,22.08,accepted,0.38100000000000733,0.38100000000000733
