shot,club,block,n_snapshots,n_frames,window,n_fft,trackman_launch_deg,trackman_ball_ms,radar_height_m,tilt_deg,median_all_cross_asym_db,median_all_cross_excess_fraction,median_all_double_asym_db,median_all_double_excess_fraction,median_all_shoulder_asym_db,median_all_peak_shift_cm,median_early_cross_asym_db,median_early_cross_excess_fraction,median_early_double_asym_db,median_early_double_excess_fraction,median_early_shoulder_asym_db,median_early_peak_shift_cm,median_late_cross_asym_db,median_late_cross_excess_fraction,median_late_double_asym_db,median_late_double_excess_fraction,median_late_shoulder_asym_db,median_late_peak_shift_cm,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
62,9Iron,A,25,7,rectangular,1024,16.77799999999999,44.569814121076114,0.1524,10.404948650719305,-0.811702727398358,-0.08888526841511213,-0.5249451869870754,-0.02679868228040785,-1.1131352558267118,-0.28822451087511247,-2.036580283080129,-0.23885523607769873,-1.4370335748120455,-0.04875383106901233,-1.6734923508270811,-0.5556870693090854,-0.3012277386865729,-0.04139364354346381,-0.4801258643060736,-0.006767229297255493,-1.0900297713556295,-0.10617838580851968,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
63,9Iron,A,16,4,rectangular,1024,11.487999999999987,39.92060582760378,0.1524,10.404948650719305,0.5565279162012716,0.11728083506904305,-0.0068241523330064835,0.018930514486454386,0.17991827181007497,0.24627900032367367,-0.18460738512154656,-0.032644932386195986,-0.7321730419408625,-0.04729434064028045,-0.9577564631215503,-0.14863965469478213,0.8250413757805393,0.1520506613059071,1.0325108037746105,0.12213977812624358,0.757326966147319,0.2982310033663227,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
64,9Iron,A,22,7,rectangular,1024,20.468999999999983,49.263726340447214,0.1524,10.404948650719305,-0.013620537062031316,-0.0019026921865166245,0.05718463995375941,0.002123514868875735,0.17016738581312635,0.09070174062578151,-0.1334079274140851,-0.012269897191498546,-1.6265903437000846,-0.044140569157053465,-0.4306880886636899,-0.005628041462618638,0.7669800727288154,0.061706162225113104,0.7620285248301342,0.023250347610329986,0.5071583107261854,-0.021671868747624723,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
65,9Iron,A,25,7,rectangular,1024,17.449000000000005,49.75546952533371,0.1524,10.404948650719305,-2.0726907823007017,-0.28363774116762247,-3.5295650691533345,-0.11615142651426828,-2.7195779425704254,-0.4739282965405711,-3.2531866217840157,-0.3287947544123112,-3.895370256530434,-0.1701069312917484,-3.4720801227807256,-0.5867141002284582,-1.608232664648108,-0.23326774620322815,-2.8055307096555318,-0.10159307377996804,-2.5638848824938094,-0.4739282965405711,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
66,9Iron,A,20,5,rectangular,1024,21.533999999999995,50.023693080726346,0.1524,10.404948650719305,2.0546480192995,0.1992505081643749,0.703160259748171,0.019188614506887306,1.3348506652435295,0.24820710253882772,0.8013159578007274,0.0967052119128178,0.8307230478298029,0.019328025990859823,0.07326355680683819,0.14835143006040608,2.798062081492237,0.2564564879828825,0.4786929193254597,0.014313869139414476,1.3196042650265307,0.436882504182623,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
67,9Iron,A,22,6,rectangular,1024,21.057999999999993,48.23553604477545,0.1524,10.404948650719305,-3.7271851929637956,-0.40648036761103523,-2.9445557891541556,-0.10398263622376921,-3.5682899636748,-0.595349335884171,-4.0329058032427785,-0.5546091504794892,-3.3949965210850053,-0.1591883769175187,-4.275701464475945,-1.1280079736455062,-1.908812676649799,-0.25354201380067676,-1.9228860053630858,-0.04699818597724858,-2.789009022298104,-0.31566780528751726,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
68,9Iron,A,20,5,rectangular,1024,5.689999999999997,48.23553604477545,0.1524,10.404948650719305,0.21719002859908465,0.04534998075400283,0.46207145178192943,0.07168359258437046,0.32840850558685486,0.12920360333665282,0.24717376458437718,0.051319868927571496,0.6014122890289206,0.09243188886897498,-0.07967329672295406,0.1787978152895331,0.2010193986523442,0.041558295215078804,0.3684458308938119,0.054214522971532814,0.2685720927771761,0.06811098974530694,0.8745533368726965,1.749106673745393,6.570383397192362,1.3805609237244483
69,9Iron,A,19,7,rectangular,1024,21.013999999999996,52.21418544976619,0.1524,10.404948650719305,1.5421444969885023,0.08029706236990526,0.5495563911593013,0.02953528710188297,0.16890110160119723,0.11547774488144258,-0.6055942895343215,-0.05810836873230785,-1.1464216301335117,-0.03047139823437479,-1.1038291480620164,-0.17182887534871183,2.890320340065828,0.27032542739369825,1.6513954590373023,0.05987905893109713,1.9955667224524756,0.465316713825914,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
70,9Iron,A,22,7,rectangular,1024,22.12999999999998,48.727279229661946,0.1524,10.404948650719305,0.20200264572781168,0.02480019058147411,-1.4459588195337092,-0.041017311051113226,-0.081023350075891,-0.004747200413035557,0.0751475772566087,0.007970890114898006,-1.9071949866294324,-0.0386776135838398,-0.8040504483876922,0.06399799274987017,-1.1165835506298125,-0.10591389257928271,-0.5644527376066512,-0.014302045981294658,-0.38096651886353267,-0.20220508241265978,2.935175043800109,5.870350087600218,22.179391469162702,0.6104735070053554
71,9Iron,A,18,6,rectangular,1024,21.279999999999987,49.442542044042305,0.1524,10.404948650719305,-0.7611256569654917,-0.08369189873451037,0.12380073142676745,0.004583983670901692,-0.8325031686184092,-0.0256475907572995,-1.0051502515720008,-0.1229843197373808,1.1719225462571552,0.037258394150591366,-0.7876854477989944,-0.4237865021419873,0.05977420106836635,0.005761031208978138,-1.516351419394088,-0.034179905321297215,0.20531302831137668,-0.07966926944185104,2.8091731726451297,5.618346345290259,21.215627946878445,0.6321818264197856
