shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,four4,hann,peak,none,ops,first,4.7,12,3,12.827524604640326,16.77799999999999,-3.950475395359666,-1.8003159372596595,-1.7721510477410956,0.028164889518563996,0.41769712499431466,0.15786795781212665,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,four4,hann,peak,none,ops,first,4.7,8,2,5.844938443221492,11.487999999999987,-5.643061556778495,-1.2868833703228635,-1.26247710470471,0.0244062656181534,0.5512415621261062,0.29034145670414846,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,17.295196268185688,20.468999999999983,-3.1738037318142958,-1.6374435422560738,-1.6050096322349472,0.03243391002112661,0.31390262156093396,0.1359329019243347,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
65,9Iron,A,four4,hann,peak,none,ops,first,4.7,12,3,9.64339016007823,17.449000000000005,-7.805609839921775,-1.6939985900763055,-1.6174360767681468,0.07656251330815866,0.5207399216088813,0.210909160687765,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
66,9Iron,A,four4,hann,peak,none,ops,first,4.7,10,3,16.203139805919854,21.533999999999995,-5.330860194080142,-1.4175089247906323,-1.3517419036095333,0.065767021181099,0.30249458292468384,0.12907698428376538,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
67,9Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,11.54315006615361,21.057999999999993,-9.514849933846383,-1.6709974955432247,-1.5412350186854749,0.1297624768577499,0.3929358978314846,0.18682979549410178,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
68,9Iron,A,four4,hann,peak,none,ops,first,4.7,10,3,-3.944776821162231,5.689999999999997,-9.634776821162228,-1.411048763694431,-1.3295312804944388,0.0815174831999923,1.0175078770105461,1.0691626939511876,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
69,9Iron,A,four4,hann,peak,none,ops,first,4.7,9,3,16.442910374818638,21.013999999999996,-4.571089625181358,-1.6590561458872328,-1.6110751806425052,0.047980965244727614,0.256785629662664,0.1930706089191395,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
70,9Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,18.10852942760636,22.12999999999998,-4.021470572393621,-1.3695155387449114,-1.3155646281043725,0.05395091064053892,0.28404723139184285,0.12506139819027648,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
71,9Iron,A,four4,hann,peak,none,ops,first,4.7,9,3,16.882352097572962,21.279999999999987,-4.397647902427025,-1.3143147552028593,-1.2986391476786592,0.015675607524200164,0.3120103870960742,0.16355627628185665,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
