estimator,n,coverage_pct,raw_mae_deg,raw_bias_deg,raw_sd_deg,global_offset_crossfit_mae_deg,global_offset_fold_0_deg,global_offset_fold_1_deg,leave_one_club_out_mae_deg,leave_one_club_out_biases_json,raw_club_metrics_json
music_tee,49,100.0,5.345894430546741,1.9377592824842933,6.215626476436801,5.418262557191469,1.951606197067124,1.9233354131271774,6.0496549029244715,"{""5Iron"": 2.5449348335507787, ""7Iron"": 0.8283685824458741, ""9Iron"": 0.8125988815189361, ""Driver"": 2.2119003218511324, ""SandWedge"": 3.188547746091679}","{""5Iron"": {""bias_deg"": 0.25635006414633293, ""mae_deg"": 4.178314660413731, ""n"": 13}, ""7Iron"": {""bias_deg"": 5.358380607602751, ""mae_deg"": 7.2066272870334025, ""n"": 12}, ""9Iron"": {""bias_deg"": 6.325884846249184, ""mae_deg"": 6.776684382594761, ""n"": 10}, ""Driver"": {""bias_deg"": -0.026918166311390657, ""mae_deg"": 2.934018748839136, ""n"": 6}, ""SandWedge"": {""bias_deg"": -4.472531593503561, ""mae_deg"": 4.472531593503561, ""n"": 8}}"
music_tee_th,49,100.0,4.609697532951423,-0.9452432537815783,5.583655580664718,4.512699445014238,-0.9026810457502079,-0.9895788871475895,4.9988844530823116,"{""5Iron"": -0.8348595307017024, ""7Iron"": -1.8832756411820684, ""9Iron"": -1.7003816366661875, ""Driver"": -0.9791630167267548, ""SandWedge"": 0.5582282350497612}","{""5Iron"": {""bias_deg"": -1.2509212561566196, ""mae_deg"": 3.833738257611205, ""n"": 13}, ""7Iron"": {""bias_deg"": 1.9470232740365985, ""mae_deg"": 3.795269953467251, ""n"": 12}, ""9Iron"": {""bias_deg"": 1.999796439468397, ""mae_deg"": 4.371067254960446, ""n"": 10}, ""Driver"": {""bias_deg"": -0.7021516193411473, ""mae_deg"": 2.9297321170208392, ""n"": 6}, ""SandWedge"": {""bias_deg"": -8.650534634042193, ""mae_deg"": 8.650534634042193, ""n"": 8}}"
tworay_w,49,100.0,3.4984018660934915,1.052095266477517,4.419777331604018,3.5268971359378005,1.3478023856673382,0.7440670173214533,3.929285367268403,"{""5Iron"": 2.1110620923409074, ""7Iron"": 0.4736371292381073, ""9Iron"": 0.6012990636283586, ""Driver"": 1.3612987089286914, ""SandWedge"": 0.7488135404407559}","{""5Iron"": {""bias_deg"": -1.8804282512980246, ""mae_deg"": 3.20323747117107, ""n"": 13}, ""7Iron"": {""bias_deg"": 2.8356745229656966, ""mae_deg"": 4.168052748559396, ""n"": 12}, ""9Iron"": {""bias_deg"": 2.810200457589235, ""mae_deg"": 4.305702260496188, ""n"": 10}, ""Driver"": {""bias_deg"": -1.1638627377559, ""mae_deg"": 1.4473894206786433, ""n"": 6}, ""SandWedge"": {""bias_deg"": 2.6064141124159184, ""mae_deg"": 3.5027015252013323, ""n"": 8}}"
tworay_dom_xlim,49,100.0,3.5339996121977486,1.0697699222645685,4.373946700875119,3.5601271065047775,0.9549219826842595,1.1894031926607236,4.025438232075378,"{""5Iron"": 2.1538916263275465, ""7Iron"": 0.3028924527906517, ""9Iron"": 0.4048773187906413, ""Driver"": 1.2612169919585066, ""SandWedge"": 1.2415912042868007}","{""5Iron"": {""bias_deg"": -1.9324132582175246, ""mae_deg"": 2.8400796991447814, ""n"": 13}, ""7Iron"": {""bias_deg"": 3.4343087864758117, ""mae_deg"": 4.78643723043601, ""n"": 12}, ""9Iron"": {""bias_deg"": 3.662851075812884, ""mae_deg"": 4.788591699067586, ""n"": 10}, ""Driver"": {""bias_deg"": -0.3022674105419892, ""mae_deg"": 0.8914821725295042, ""n"": 6}, ""SandWedge"": {""bias_deg"": 0.18918585190062798, ""mae_deg"": 3.196611014715313, ""n"": 8}}"
tworay_tee,49,100.0,4.935080467960462,-1.098632078976459,5.379022125345477,4.7098161888698336,-1.006883278101003,-1.1942037465550586,5.20019948670775,"{""5Iron"": -0.42788780525834946, ""7Iron"": -2.2651915972458694, ""9Iron"": -1.9500022641814536, ""Driver"": -0.6863105539550287, ""SandWedge"": -0.2574242748498847}","{""5Iron"": {""bias_deg"": -2.9560777600419925, ""mae_deg"": 5.398181450799327, ""n"": 13}, ""7Iron"": {""bias_deg"": 2.498259769020892, ""mae_deg"": 4.561270123880392, ""n"": 12}, ""9Iron"": {""bias_deg"": 2.2217116433230197, ""mae_deg"": 4.922697089455546, ""n"": 10}, ""Driver"": {""bias_deg"": -4.053603008296709, ""mae_deg"": 4.0669658479249975, ""n"": 6}, ""SandWedge"": {""bias_deg"": -5.4098220751251525, ""mae_deg"": 5.4098220751251525, ""n"": 8}}"
tworay_tee_th,49,100.0,5.07796394219638,-3.1471482757293807,5.597441090653986,4.473465233659846,-2.8935812802063503,-3.4112805627325375,5.0439477639728345,"{""5Iron"": -3.1286676189813605, ""7Iron"": -4.5093027957668586, ""9Iron"": -3.6910562107970746, ""Driver"": -3.0095577058067313, ""SandWedge"": -1.5610402620848918}","{""5Iron"": {""bias_deg"": -3.1983254790315923, ""mae_deg"": 5.305122688051812, ""n"": 13}, ""7Iron"": {""bias_deg"": 1.0528281610528436, ""mae_deg"": 3.1252602189087972, ""n"": 12}, ""9Iron"": {""bias_deg"": -1.0259073289653766, ""mae_deg"": 2.726343963196447, ""n"": 10}, ""Driver"": {""bias_deg"": -4.1332140268417055, ""mae_deg"": 4.146576866469995, ""n"": 6}, ""SandWedge"": {""bias_deg"": -11.275951845657385, ""mae_deg"": 11.275951845657385, ""n"": 8}}"
golden_k2,35,71.42857142857143,4.815889553026897,-0.2906015932276071,7.5900397571532965,4.852368504654384,-1.1353952207951228,0.6038857771379976,5.763278490059193,"{""5Iron"": 2.368177155453927, ""7Iron"": -0.8322437613425226, ""9Iron"": -1.0824438925663673, ""Driver"": -0.22409839536070097, ""SandWedge"": -1.11593965377822}","{""5Iron"": {""bias_deg"": -5.3865941948672145, ""mae_deg"": 5.769674625205092, ""n"": 12}, ""7Iron"": {""bias_deg"": 2.9592514154618845, ""mae_deg"": 6.88359694092357, ""n"": 5}, ""9Iron"": {""bias_deg"": 5.846176226647781, ""mae_deg"": 7.22030375553806, ""n"": 4}, ""Driver"": {""bias_deg"": -0.6120337162509869, ""mae_deg"": 1.650840009130784, ""n"": 6}, ""SandWedge"": {""bias_deg"": 2.4949143611307107, ""mae_deg"": 3.264474883990685, ""n"": 8}}"
