shot,club,block,model,velocity_source,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,trackman_ball_ms,radar_ball_ms,launch_error_deg,best_cv_log_error,truth_cv_log_error,truth_minus_best_cv,radar_height_m,tilt_deg,tee_distance_m,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
62,9Iron,A,two8,truth,25,7,14.355143464088476,16.77799999999999,44.569814121076114,43.08422175707952,-2.4228565359115155,-1.4746475180987242,-1.3600105161649714,0.11463700193375281,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,two8_path_tdm,truth,25,7,14.349278205768098,16.77799999999999,44.569814121076114,43.08422175707952,-2.428721794231894,-1.4724372291758538,-1.359703015371151,0.11273421380470294,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,two8_path_tdm_neg,truth,25,7,14.363190919074565,16.77799999999999,44.569814121076114,43.08422175707952,-2.4148090809254263,-1.4772001520598543,-1.3604428321525825,0.11675731990727178,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3,truth,25,7,15.244014780553055,16.77799999999999,44.569814121076114,43.08422175707952,-1.5339852194469366,-1.5535853062935094,-1.5444725910937296,0.009112715199779853,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3_path_tdm,truth,25,7,15.525242677104588,16.77799999999999,44.569814121076114,43.08422175707952,-1.2527573228954036,-1.5585366528971332,-1.5495621177812315,0.008974535115901627,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3_path_tdm_neg,truth,25,7,15.194848822283182,16.77799999999999,44.569814121076114,43.08422175707952,-1.5831511777168092,-1.5494984536801482,-1.5397792305422393,0.00971922313790885,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four4_path_tdm,truth,25,7,14.381008573777404,16.77799999999999,44.569814121076114,43.08422175707952,-2.3969914262225878,-1.6576750174284558,-1.6119605584464856,0.04571445898197024,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four4_path_tdm_neg,truth,25,7,14.381008573777468,16.77799999999999,44.569814121076114,43.08422175707952,-2.396991426222524,-1.6576750174284562,-1.611960558446485,0.04571445898197135,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,tx_later4,truth,25,7,15.771621521421842,16.77799999999999,44.569814121076114,43.08422175707952,-1.0063784785781493,-1.8644397077134318,-1.8438226834625995,0.02061702425083234,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,tx_earlier4,truth,25,7,1.4514245377534527,16.77799999999999,44.569814121076114,43.08422175707952,-15.326575462246538,-1.7339480857142135,-1.4597692937159923,0.27417879199822126,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
63,9Iron,A,two8,truth,16,4,4.056616198631038,11.487999999999987,39.92060582760378,39.69922948327173,-7.431383801368949,-1.2618048465200111,-1.0684044284917782,0.19340041802823293,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,two8_path_tdm,truth,16,4,-2.551093776782279,11.487999999999987,39.92060582760378,39.69922948327173,-14.039093776782266,-1.4089420849005703,-1.073159971899248,0.3357821130013223,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
