shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,direct1,rectangular,track,none,25,7,13.447008009968362,16.77799999999999,-3.330991990031629,-0.7064744505952584,-0.6650293925814685,0.04144505801378984,nan,nan,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,two2,rectangular,track,none,25,7,13.501756569236695,16.77799999999999,-3.276243430763296,-0.7436071181890578,-0.6940566122317426,0.04955050595731514,nan,0.1699569110143382,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four3,rectangular,track,none,25,7,13.114492740347018,16.77799999999999,-3.663507259652974,-0.781307605584235,-0.7532602733647816,0.028047332219453325,0.1765564189048756,0.13519157269646156,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four4,rectangular,track,none,25,7,11.500282292873736,16.77799999999999,-5.277717707126255,-0.8744736778301337,-0.8270293082253929,0.047444369604740855,0.2930920558236225,0.12713509004029555,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,direct1,rectangular,track,none,16,4,6.96034309238802,11.487999999999987,-4.527656907611967,-0.5684106015582878,-0.5258472312987419,0.04256337025954593,nan,nan,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,two2,rectangular,track,none,16,4,7.1712588770631704,11.487999999999987,-4.316741122936817,-0.6175878498990743,-0.5796095562629339,0.03797829363614047,nan,0.21124189429439752,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four3,rectangular,track,none,16,4,7.82442100261955,11.487999999999987,-3.663578997380437,-0.6435280719499203,-0.6326173092957298,0.010910762654190553,0.33431796723596396,0.32248718346877225,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four4,rectangular,track,none,16,4,6.418438645785535,11.487999999999987,-5.069561354214452,-0.7454939741811686,-0.7216988369988132,0.023795137182355375,0.7143430066618701,0.28116781957951,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,direct1,rectangular,track,none,22,7,16.542079590555645,20.468999999999983,-3.926920409444339,-0.628504214737255,-0.5756935829885463,0.0528106317487087,nan,nan,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,two2,rectangular,track,none,22,7,16.201924492125812,20.468999999999983,-4.267075507874171,-0.6433572673863692,-0.5897911532990788,0.053566114087290395,nan,0.12132232111005944,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
