shot,club,block,n_snapshots,n_frames,window,n_fft,trackman_launch_deg,trackman_ball_ms,radar_height_m,tilt_deg,median_all_cross_asym_db,median_all_cross_excess_fraction,median_all_double_asym_db,median_all_double_excess_fraction,median_all_shoulder_asym_db,median_all_peak_shift_cm,median_early_cross_asym_db,median_early_cross_excess_fraction,median_early_double_asym_db,median_early_double_excess_fraction,median_early_shoulder_asym_db,median_early_peak_shift_cm,median_late_cross_asym_db,median_late_cross_excess_fraction,median_late_double_asym_db,median_late_double_excess_fraction,median_late_shoulder_asym_db,median_late_peak_shift_cm,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
62,9Iron,A,25,7,hann,1024,16.77799999999999,44.569814121076114,0.1524,10.404948650719305,-0.12543381189682892,-0.021782609604198366,-0.21113628078222632,-0.02019087046664999,-0.2521518383364105,-0.09864601924767236,-0.5517526139645077,-0.09554095975761018,-1.0408773989148057,-0.1041525601026232,-0.6447150550064212,-0.35643891912481296,-0.09930321615236672,-0.01896120048545998,0.014318563027968328,0.001735524295018111,-0.22888126439433482,-0.13305006948303166,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
63,9Iron,A,16,4,hann,1024,11.487999999999987,39.92060582760378,0.1524,10.404948650719305,0.0916871818934272,0.01993498092845429,0.249999658679031,0.044600141735093066,0.09319914453566794,0.1176303696248493,-0.10885915770249771,-0.022918250286870966,-0.12954026396579815,-0.02100411296135929,0.025302981825165695,-0.07338847535674486,0.09779491294043094,0.02238147120824901,0.22958767425007476,0.04765033857952412,0.519314995922545,0.10525805731800286,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
64,9Iron,A,22,7,hann,1024,20.468999999999983,49.263726340447214,0.1524,10.404948650719305,0.2488619519880486,0.04264916854836999,0.27979579009179617,0.01731238619438097,0.2036777741703466,0.1944038136007631,0.11296772714537802,0.017914221025876146,-0.20144839588764873,-0.009898975389590888,-0.06745210472920053,0.16674844259202404,0.38650228649221935,0.06679401234050134,0.3665445269176989,0.027986929450277052,0.26900765151832967,0.20672808625345485,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
65,9Iron,A,25,7,hann,1024,17.449000000000005,49.75546952533371,0.1524,10.404948650719305,-0.8488630484911395,-0.16624129368829796,-1.7884546317680314,-0.18158028543178314,-1.3913785013204982,-0.5722432276685896,-1.338249359452923,-0.23701685734280944,-2.537512048453721,-0.28321906888000287,-2.297677831532186,-0.8206411127015034,-0.4149940532413008,-0.08726388407264427,-0.7635307040044236,-0.09374726949003097,-0.584326987660759,-0.15645534317831888,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
66,9Iron,A,20,5,hann,1024,21.533999999999995,50.023693080726346,0.1524,10.404948650719305,0.4986293380336596,0.08730505085487542,1.2187788120115006,0.09025691067772121,0.8798792869791288,0.21405208262583186,0.3378833556930594,0.05876041222976168,-1.007478725240265,-0.09214798148590182,-0.6093495822685667,0.14413815203419,0.543281109069744,0.0952677229739525,1.2423404295360636,0.09723995842561792,0.8254899610961308,0.15045806907350578,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
67,9Iron,A,22,6,hann,1024,21.057999999999993,48.23553604477545,0.1524,10.404948650719305,-1.019891630439761,-0.1835583333252372,-1.9303192719673892,-0.16704157754223703,-1.3640230305088283,-0.7224228202801886,-1.5574475652638355,-0.2761732724611644,-2.515811149882904,-0.21533856334783869,-2.059549136524335,-1.015391570280172,-0.7191189189754347,-0.10812235603483542,-1.8725350317153748,-0.11350123807622634,-0.9274283439803896,-0.19280675298387617,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
68,9Iron,A,20,5,hann,1024,5.689999999999997,48.23553604477545,0.1524,10.404948650719305,0.3544514914157538,0.0784170756700126,0.7227598582644548,0.1424122336927679,1.3657263267358388,0.5131906003610576,0.3628640494545146,0.08038924153522434,0.7416041947851322,0.14632413332728555,1.6652612924917052,0.5131906003610576,0.21219268114992573,0.04723229173992484,0.39511133729625736,0.07951585585674459,0.9445217632552689,0.30069646713977716,0.8745533368726965,1.749106673745393,6.570383397192362,1.3805609237244483
69,9Iron,A,19,7,hann,1024,21.013999999999996,52.21418544976619,0.1524,10.404948650719305,0.3278059446035535,0.043620691993074535,0.795690135717841,0.07886433551648422,0.7174932295205612,0.09536988256676482,-0.8573188320484748,-0.1582535540303794,-1.8385326050579442,-0.1782806754620167,-1.6234921976596464,-0.5215018967959062,0.9913608225179289,0.15122008152829006,1.812004081921813,0.1534856788670878,1.423909213866711,0.43322080198253676,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
70,9Iron,A,22,7,hann,1024,22.12999999999998,48.727279229661946,0.1524,10.404948650719305,-0.2692432176734205,-0.045802903514422205,-0.4031359851531219,-0.03064110989908931,-0.5000124391696412,-0.09712174405465679,-0.24394485093446422,-0.044585277786136884,-0.23586423975307008,-0.024922828350759527,-0.399316633328884,-0.12380945584112846,-0.18435671297796602,-0.029343102520519464,0.0265086821413087,0.00048642097165209125,0.12624544219737752,-0.1330625028155119,2.935175043800109,5.870350087600218,22.179391469162702,0.6104735070053554
71,9Iron,A,18,6,hann,1024,21.279999999999987,49.442542044042305,0.1524,10.404948650719305,-0.26366667050779413,-0.04857720383377227,0.17739823215591494,0.015114573264516075,0.040747846383378326,-0.1359582020893424,-0.062084047560516914,-0.012478835165511949,0.41075437792867764,0.03742318955689639,0.21430997961987056,-0.07251758230535366,0.30818420404248553,0.04298017969727105,0.5077868505841632,0.03723569524210317,0.5723432740919236,-0.03675914662281676,2.8091731726451297,5.618346345290259,21.215627946878445,0.6321818264197856
