shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,direct1,hann,peak,none,ops,all,4.7,25,7,13.8696371903137,16.77799999999999,-2.9083628096862917,-0.9775432821858457,-0.9294517822361639,0.04809149994968187,nan,nan,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,two2,hann,peak,none,ops,all,4.7,25,7,13.80023958796066,16.77799999999999,-2.9777604120393324,-1.0560349776980442,-1.0075395216312633,0.04849545606678096,nan,0.18846008490266972,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four3,hann,peak,none,ops,all,4.7,25,7,15.090522237697803,16.77799999999999,-1.6874777623021888,-1.1623170564494323,-1.1546548896019269,0.007662166847505425,0.2157756641572418,0.16112888988401694,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four4,hann,peak,none,ops,all,4.7,25,7,14.725858106593803,16.77799999999999,-2.052141893406189,-1.3316305179888264,-1.3239514206104257,0.007679097378400668,0.28090021235588253,0.13238489747451548,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,direct1,hann,peak,none,ops,all,4.7,16,4,7.982463854204693,11.487999999999987,-3.5055361457952943,-0.8032504938029494,-0.7782405144058413,0.02500997939710814,nan,nan,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,two2,hann,peak,none,ops,all,4.7,16,4,8.259390010937201,11.487999999999987,-3.228609989062786,-0.9352956439480664,-0.9138803395797489,0.02141530436831751,nan,0.26160050896150217,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four3,hann,peak,none,ops,all,4.7,16,4,6.337733891749468,11.487999999999987,-5.150266108250519,-0.9749993050858587,-0.9609907439906079,0.014008561095250838,0.3527533477427291,0.37310094328414833,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four4,hann,peak,none,ops,all,4.7,16,4,4.1728497189846685,11.487999999999987,-7.315150281015319,-1.1631077268906636,-1.1362335749003352,0.026874151990328388,0.5745773980892348,0.34364635049494163,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,direct1,hann,peak,none,ops,all,4.7,22,7,16.51882006155586,20.468999999999983,-3.9501799384441227,-0.9551869565464745,-0.8575220554584452,0.09766490108802928,nan,nan,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,two2,hann,peak,none,ops,all,4.7,22,7,16.182022070466523,20.468999999999983,-4.28697792953346,-1.0069101175450048,-0.9106986902758981,0.0962114272691067,nan,0.1558708445885287,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
