shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
66,9Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,17.636755291651436,21.533999999999995,-3.897244708348559,-1.1806221922143239,-1.0922174966482092,0.08840469556611463,0.30158931145989504,0.18292269451395204,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
67,9Iron,A,direct1,hann,peak,none,ops,second,4.7,11,4,19.74310476168471,21.057999999999993,-1.3148952383152839,-0.9069315813003953,-0.8973110103099078,0.00962057099048752,nan,nan,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,two2,hann,peak,none,ops,second,4.7,11,4,19.956403179429927,21.057999999999993,-1.101596820570066,-0.932877347705906,-0.9255865603027209,0.007290787403185117,nan,0.10022133094289991,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,four4,hann,peak,none,ops,second,4.7,11,4,18.28556875263203,21.057999999999993,-2.7724312473679618,-1.1480907063739711,-1.117231411774707,0.030859294599264064,0.27507061729124305,0.14354883161875817,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
68,9Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,-1.8464188647709432,5.689999999999997,-7.5364188647709405,-1.0177976526260109,-0.7060674986988679,0.311730153927143,nan,nan,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,-1.3601053671817014,5.689999999999997,-7.050105367181699,-1.1127320576776356,-1.0414197248491635,0.07131233282847216,nan,0.982501705626424,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,-1.1364563940337633,5.689999999999997,-6.826456394033761,-1.3073381039799,-1.266664134436662,0.040673969543237876,0.9972125813121978,0.993182073217576,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
69,9Iron,A,direct1,hann,peak,none,ops,second,4.7,10,5,19.787457656993954,21.013999999999996,-1.2265423430060416,-0.8560421181663376,-0.854934172095666,0.0011079460706715505,nan,nan,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,two2,hann,peak,none,ops,second,4.7,10,5,19.98564800105782,21.013999999999996,-1.028351998942174,-0.881900133219073,-0.8811914967956215,0.0007086364234515363,nan,0.15792006721557858,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,four4,hann,peak,none,ops,second,4.7,10,5,18.884768865555326,21.013999999999996,-2.1292311344446695,-1.0677770970736433,-1.046958327136402,0.0208187699372413,0.26515039857315376,0.130555110200667,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
70,9Iron,A,direct1,hann,peak,none,ops,second,4.7,11,5,19.360721933416585,22.12999999999998,-2.7692780665833965,-0.8401605685620795,-0.7980273544085129,0.042133214153566634,nan,nan,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
70,9Iron,A,two2,hann,peak,none,ops,second,4.7,11,5,19.21914277586477,22.12999999999998,-2.91085722413521,-0.8723162330946799,-0.8295971809166647,0.04271905217801519,nan,0.18355194043973463,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
70,9Iron,A,four4,hann,peak,none,ops,second,4.7,11,5,20.62915458887137,22.12999999999998,-1.500845411128612,-0.9794980536770372,-0.9692055776503734,0.010292476026663833,0.2693993458327234,0.1552843170680793,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
71,9Iron,A,direct1,hann,peak,none,ops,second,4.7,9,4,19.875559846456397,21.279999999999987,-1.4044401535435895,-0.7790859792430482,-0.7707534811603509,0.008332498082697315,nan,nan,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,two2,hann,peak,none,ops,second,4.7,9,4,20.31225984071641,21.279999999999987,-0.9677401592835757,-0.7977685438061574,-0.7928841344536165,0.004884409352540864,nan,0.12825719068606325,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,four4,hann,peak,none,ops,second,4.7,9,4,18.534591918232323,21.279999999999987,-2.745408081767664,-0.9796118283849007,-0.9471356424184906,0.03247618596641011,0.3031940646849401,0.085471725940756,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
72,7Iron,A,direct1,hann,peak,none,ops,second,4.7,15,5,3.8087642851156365,1.6789999999999963,2.12976428511564,-0.5826516109165827,-0.5662358888887699,0.01641572202781283,nan,nan,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,two2,hann,peak,none,ops,second,4.7,15,5,4.160924922682365,1.6789999999999963,2.4819249226823685,-0.6114513642230259,-0.606159046185415,0.005292318037610877,nan,0.2682911004370352,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,four4,hann,peak,none,ops,second,4.7,15,5,3.5793116037109973,1.6789999999999963,1.900311603711001,-0.7984293358071339,-0.7968612883455076,0.0015680474616263096,0.9992710388834021,0.7464738445369145,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
73,7Iron,A,direct1,hann,peak,none,ops,second,4.7,10,4,15.795501697390806,18.677999999999987,-2.8824983026091804,-0.930957733499211,-0.8955241663301552,0.03543356716905577,nan,nan,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,two2,hann,peak,none,ops,second,4.7,10,4,16.350990942132704,18.677999999999987,-2.327009057867283,-0.9788355052304611,-0.941860317807839,0.03697518742262218,nan,0.11953125956589353,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,four4,hann,peak,none,ops,second,4.7,10,4,17.227735998344652,18.677999999999987,-1.4502640016553343,-1.0876282707409222,-1.0781374499591239,0.009490820781798304,0.15057743177328958,0.1430403922141027,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
74,7Iron,A,direct1,hann,peak,none,ops,second,4.7,9,3,15.839184273776866,16.30699999999998,-0.4678157262231153,-0.9339285884724507,-0.9326007368654134,0.0013278516070373003,nan,nan,53.91293463391955,52.245087594089,0.1524,10.404948650719305
74,7Iron,A,two2,hann,peak,none,ops,second,4.7,9,3,15.830737931153596,16.30699999999998,-0.4762620688463848,-0.9653801312298795,-0.9638767802521868,0.001503350977692719,nan,0.10971865322003077,53.91293463391955,52.245087594089,0.1524,10.404948650719305
74,7Iron,A,four4,hann,peak,none,ops,second,4.7,9,3,16.12712020132342,16.30699999999998,-0.17987979867655923,-1.034032728607188,-1.0340191185331353,1.3610074052650134e-05,0.14157714580277098,0.12865530555328378,53.91293463391955,52.245087594089,0.1524,10.404948650719305
75,7Iron,A,direct1,hann,peak,none,ops,second,4.7,11,5,15.836956144267473,17.240999999999993,-1.4040438557325192,-0.8866476455934903,-0.872690184561184,0.013957461032306329,nan,nan,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,two2,hann,peak,none,ops,second,4.7,11,5,15.542854652489426,17.240999999999993,-1.6981453475105663,-0.9228923355144338,-0.9041208728003868,0.01877146271404706,nan,0.14607479457376363,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,four4,hann,peak,none,ops,second,4.7,11,5,15.284041518134181,17.240999999999993,-1.9569584818658115,-1.0408237004784318,-1.0314159951166997,0.009407705361732077,0.21726090349996144,0.14224379534924353,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
76,7Iron,A,direct1,hann,peak,none,ops,second,4.7,11,4,8.569198587934988,12.092000000000013,-3.522801412065025,-0.8509335881900475,-0.7946143727487938,0.056319215441253734,nan,nan,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,two2,hann,peak,none,ops,second,4.7,11,4,9.816600996605011,12.092000000000013,-2.275399003395002,-0.9196919199512698,-0.8994588643941308,0.020233055557138946,nan,0.30129460186684665,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,four4,hann,peak,none,ops,second,4.7,11,4,9.96237991529598,12.092000000000013,-2.129620084704033,-1.231922249656372,-1.2274774714872427,0.004444778169129249,0.49370280124797217,0.27390284089981853,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
