variant,shot,club,block,n_components,components,launch_angle_deg,trackman_launch_deg,trackman_ball_mph,ops_ball_mph,raw_error_deg,block_a_offset_deg,fixed_error_deg,corrected_launch_angle_deg
channel_two,62,9Iron,A,2,channel:two8+channel:four4_path_tdm,14.173117319125577,16.77799999999999,99.7,96.9,-2.6048826808744145,-2.743591257158982,0.13870857628456745,16.91670857628456
channel_two,63,9Iron,A,2,channel:two8+channel:four4_path_tdm,9.812299811126021,11.487999999999987,89.30000000000001,87.6,-1.6757001888739662,-2.743591257158982,1.0678910682850158,12.555891068285003
channel_two,64,9Iron,A,2,channel:two8+channel:four4_path_tdm,18.431542680121183,20.468999999999983,110.2,106.7,-2.0374573198788006,-2.743591257158982,0.7061339372801814,21.175133937280165
channel_two,65,9Iron,A,2,channel:two8+channel:four4_path_tdm,14.138107963787785,17.449000000000005,111.3,108.0,-3.31089203621222,-2.743591257158982,-0.5673007790532378,16.881699220946768
channel_two,66,9Iron,A,2,channel:two8+channel:four4_path_tdm,16.827714124860243,21.533999999999995,111.9,108.5,-4.706285875139752,-2.743591257158982,-1.96269461798077,19.571305382019226
channel_two,67,9Iron,A,2,channel:two8+channel:four4_path_tdm,18.2477386305469,21.057999999999993,107.9,104.5,-2.8102613694530945,-2.743591257158982,-0.06667011229411246,20.99132988770588
channel_two,68,9Iron,A,2,channel:two8+channel:four4_path_tdm,3.6176385104701843,5.689999999999997,107.9,106.6,-2.0723614895298126,-2.743591257158982,0.6712297676291694,6.361229767629166
channel_two,69,9Iron,A,2,channel:two8+channel:four4_path_tdm,18.50120852717705,21.013999999999996,116.8,113.2,-2.512791472822947,-2.743591257158982,0.23079978433603499,21.24479978433603
channel_two,70,9Iron,A,2,channel:two8+channel:four4_path_tdm,18.721454736406976,22.12999999999998,109.0,105.3,-3.4085452635930054,-2.743591257158982,-0.6649540064340234,21.46504599356596
channel_two,71,9Iron,A,2,channel:two8+channel:four4_path_tdm,17.887597370010425,21.279999999999987,110.60000000000001,107.1,-3.3924026299895615,-2.743591257158982,-0.6488113728305795,20.631188627169408
channel_two,72,7Iron,A,2,channel:two8+channel:four4_path_tdm,4.185721193697418,1.6789999999999963,76.5,77.1,2.506721193697422,-2.743591257158982,5.250312450856404,6.929312450856401
channel_two,73,7Iron,A,2,channel:two8+channel:four4_path_tdm,16.50538984170535,18.677999999999987,112.9,109.8,-2.172610158294635,-2.743591257158982,0.5709810988643471,19.248981098864334
channel_two,74,7Iron,A,2,channel:two8+channel:four4_path_tdm,14.510008271101725,16.30699999999998,120.60000000000001,117.2,-1.7969917288982558,-2.743591257158982,0.9465995282607262,17.253599528260708
channel_two,75,7Iron,A,2,channel:two8+channel:four4_path_tdm,15.644488487633144,17.240999999999993,117.8,114.4,-1.596511512366849,-2.743591257158982,1.147079744792133,18.388079744792126
channel_two,76,7Iron,A,2,channel:two8+channel:four4_path_tdm,10.987660944448045,12.092000000000013,103.99999999999999,101.8,-1.1043390555519679,-2.743591257158982,1.6392522016070141,13.731252201607028
channel_two,77,7Iron,A,2,channel:two8+channel:four4_path_tdm,13.03950573164467,13.927999999999987,103.9,101.4,-0.8884942683553163,-2.743591257158982,1.8550969888036657,15.783096988803653
channel_two,78,7Iron,A,2,channel:two8+channel:four4_path_tdm,3.681850379929594,6.121999999999985,69.3,71.0,-2.440149620070391,-2.743591257158982,0.30344163708859107,6.425441637088576
channel_two,79,7Iron,A,2,channel:two8+channel:four4_path_tdm,10.325618670482875,15.657999999999998,111.3,108.2,-5.332381329517123,-2.743591257158982,-2.5887900723581407,13.069209927641857
channel_two,80,7Iron,A,2,channel:two8+channel:four4_path_tdm,11.879182464907034,14.687999999999988,106.1,103.4,-2.8088175350929543,-2.743591257158982,-0.06522627793397229,14.622773722066016
channel_two,81,7Iron,A,2,channel:two8+channel:four4_path_tdm,6.692855711330486,9.146999999999982,109.0,106.5,-2.4541442886694966,-2.743591257158982,0.28944696848948537,9.436446968489468
channel_two,82,7Iron,A,2,channel:two8+channel:four4_path_tdm,14.977556913001415,17.27599999999998,108.6,105.6,-2.2984430869985637,-2.743591257158982,0.4451481701604183,17.721148170160397
channel_two,83,7Iron,A,2,channel:two8+channel:four4_path_tdm,14.171554070258953,18.87599999999999,112.0,108.5,-4.704445929741038,-2.743591257158982,-1.9608546725820557,16.915145327417935
channel_two,84,7Iron,A,2,channel:two8+channel:four4_path_tdm,12.805651786061468,16.949999999999992,122.0,118.6,-4.144348213938525,-2.743591257158982,-1.4007569567795426,15.54924304322045
channel_two,86,5Iron,A,2,channel:two8+channel:four4_path_tdm,12.779596556227833,14.677,111.9,109.3,-1.8974034437721663,-2.743591257158982,0.8461878133868157,15.523187813386816
channel_two,87,5Iron,A,2,channel:two8+channel:four4_path_tdm,11.242950065409495,15.406999999999991,118.2,115.2,-4.164049934590496,-2.743591257158982,-1.420458677431514,13.986541322568478
