shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,direct1,hann,peak,none,ops,second,4.7,13,4,15.755699393967117,16.77799999999999,-1.022300606032875,-0.8636388722853606,-0.8553899213106229,0.008248950974737768,nan,nan,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,two2,hann,peak,none,ops,second,4.7,13,4,15.40727680486591,16.77799999999999,-1.3707231951340813,-0.9038050786642171,-0.8923269526631606,0.011478126001056466,nan,0.16566218626830018,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four4,hann,peak,none,ops,second,4.7,13,4,16.216477997276762,16.77799999999999,-0.5615220027232297,-0.9883734533696031,-0.987756398995751,0.0006170543738521772,0.20637117139096658,0.11625077603299953,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,direct1,hann,peak,none,ops,second,4.7,8,2,6.929345201473716,11.487999999999987,-4.5586547985262715,-0.8439167470727323,-0.7909070284124708,0.053009718660261496,nan,nan,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,two2,hann,peak,none,ops,second,4.7,8,2,7.965154619043118,11.487999999999987,-3.522845380956869,-0.8774068220908458,-0.8483842760586932,0.029022546032152596,nan,0.2000398817747418,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four4,hann,peak,none,ops,second,4.7,8,2,2.7184090169200634,11.487999999999987,-8.769590983079924,-1.0416370040957026,-1.0099371896514866,0.03169981444421599,0.6888040257734116,0.410349821162703,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,direct1,hann,peak,none,ops,second,4.7,11,5,16.254908317486684,20.468999999999983,-4.214091682513299,-0.7696188917521711,-0.6766119846908187,0.0930069070613524,nan,nan,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,two2,hann,peak,none,ops,second,4.7,11,5,16.174302927149984,20.468999999999983,-4.294697072849999,-0.80943126472977,-0.722395261978412,0.08703600275135803,nan,0.15976925476391765,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four4,hann,peak,none,ops,second,4.7,11,5,18.245739862620724,20.468999999999983,-2.2232601373792598,-0.932978415147723,-0.9115504914307756,0.02142792371694735,0.307323714517862,0.190721655558726,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
65,9Iron,A,direct1,hann,peak,none,ops,second,4.7,13,4,16.541930049484463,17.449000000000005,-0.9070699505155417,-0.915723352493861,-0.9092325622622714,0.006490790231589605,nan,nan,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
