shot,club,stage,mode,n_snapshots,launch_angle_deg,trackman_launch_deg,launch_error_deg,sampled_truth_angle_deg,model_bias_deg,height_error_cm,truth_direct_deg,direct_image_sep_deg,truth_explained,best_explained,truth_corrupt_zone_pct,bartlett_gate_pct
63,9Iron,last3,local,34,5.232420875918252,11.487999999999987,-6.255579124081735,11.062496834077395,-5.830075958159143,-11.500270804989771,-8.044637946875081,11.085406116544949,0.8071126626839762,0.8282560366020176,0.0,2.941176470588235
63,9Iron,last3,truth,34,4.968229461958074,11.487999999999987,-6.5197705380419135,11.063058069847656,-6.094828607889583,-12.184920927813604,-8.044637946875081,11.085406116544949,0.8123270218961556,0.8336405592246504,0.0,0.0
64,9Iron,first3,local,40,9.811299334037441,20.468999999999983,-10.657700665962542,20.070548836928307,-10.259249502890865,-19.397526929211086,-4.740638600673093,17.97898599769902,0.7774921700420047,0.8816897513341659,0.0,0.0
64,9Iron,first3,truth,39,10.309603001743735,20.468999999999983,-10.159396998256248,20.071119702582358,-9.761516700838623,-18.957351108348853,-4.752967325926419,17.960022965131532,0.7817138165753552,0.8823756453542781,0.0,0.0
64,9Iron,middle3,local,35,11.906108355409048,20.468999999999983,-8.562891644590936,19.96644512387551,-8.060336768466462,-19.837702750073323,-3.2583895355972303,20.257092596190716,0.7788089057290032,0.8838935404448371,28.57142857142857,2.857142857142857
64,9Iron,middle3,truth,34,12.778550071100891,20.468999999999983,-7.690449928899092,19.966320302093,-7.187770230992108,-18.450327592659722,-3.278199788119709,20.22666922939736,0.7995827487660805,0.8833841210092748,29.411764705882355,2.941176470588235
64,9Iron,last3,local,27,13.44867896588558,20.468999999999983,-7.020321034114403,19.89181484737752,-6.443135881491941,-19.83067338287507,-2.148044206724944,21.96115914537269,0.783310194820775,0.890416453990126,55.55555555555556,11.11111111111111
64,9Iron,last3,truth,26,14.413449440357658,20.468999999999983,-6.055550559642326,19.891646520383055,-5.478197080025398,-17.584759035849416,-2.1398487421573025,21.97372823866837,0.8071749762065658,0.892304467792653,57.692307692307686,11.538461538461538
65,9Iron,first3,local,27,11.106649019490655,17.449000000000005,-6.34235098050935,17.19978462540561,-6.093135605914954,-12.991870314146498,-6.727182441879005,14.417407020406829,0.802327725805819,0.8724035985488272,0.0,0.0
65,9Iron,first3,truth,28,12.260236853231612,17.449000000000005,-5.188763146768393,17.199327822967913,-4.9390909697363,-10.49335345469636,-6.715073830674809,14.43527581382251,0.8135581580632797,0.8492188281633701,0.0,0.0
