shot,club,block,model,velocity_source,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,trackman_ball_ms,radar_ball_ms,launch_error_deg,best_cv_log_error,truth_cv_log_error,truth_minus_best_cv,radar_height_m,tilt_deg,tee_distance_m,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
62,9Iron,A,two8,radar,25,7,13.944697374582839,16.77799999999999,44.569814121076114,43.08422175707952,-2.8333026254171525,-1.5056775436450052,-1.346883983462652,0.15879356018235313,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,two8_path_tdm,radar,25,7,13.924498690127589,16.77799999999999,44.569814121076114,43.08422175707952,-2.853501309872403,-1.5031193740899529,-1.3465027081571967,0.15661666593275614,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,two8_path_tdm_neg,radar,25,7,13.966288073972022,16.77799999999999,44.569814121076114,43.08422175707952,-2.8117119260279697,-1.5085550824487133,-1.3479367539637885,0.16061832848492474,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3,radar,25,7,15.048718920516272,16.77799999999999,44.569814121076114,43.08422175707952,-1.7292810794837195,-1.5703749125949429,-1.547129755309874,0.02324515728506893,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3_path_tdm,radar,25,7,15.093396748257947,16.77799999999999,44.569814121076114,43.08422175707952,-1.684603251742045,-1.5746986213404912,-1.551504059290801,0.02319456204969028,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3_path_tdm_neg,radar,25,7,14.988327471744414,16.77799999999999,44.569814121076114,43.08422175707952,-1.7896725282555774,-1.5663803474618683,-1.5433118267842825,0.023068520677585802,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four4_path_tdm,radar,25,7,14.381008573777404,16.77799999999999,44.569814121076114,43.08422175707952,-2.3969914262225878,-1.6576750174284558,-1.611960558446486,0.0457144589819698,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four4_path_tdm_neg,radar,25,7,14.381008573777468,16.77799999999999,44.569814121076114,43.08422175707952,-2.396991426222524,-1.6576750174284562,-1.6119605584464851,0.04571445898197113,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,tx_later4,radar,25,7,15.77162152142183,16.77799999999999,44.569814121076114,43.08422175707952,-1.0063784785781618,-1.8644397077134316,-1.8438226834625997,0.020617024250831895,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,tx_earlier4,radar,25,7,1.4514245377534527,16.77799999999999,44.569814121076114,43.08422175707952,-15.326575462246538,-1.7339480857142135,-1.4597692937159923,0.27417879199822126,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
63,9Iron,A,two8,radar,16,4,3.9782553984603024,11.487999999999987,39.92060582760378,39.69922948327173,-7.509744601539685,-1.2665533324474656,-1.0965809845453334,0.16997234790213223,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,two8_path_tdm,radar,16,4,-2.539692945041939,11.487999999999987,39.92060582760378,39.69922948327173,-14.027692945041926,-1.413565564469624,-1.101968303592762,0.3115972608768618,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,two8_path_tdm_neg,radar,16,4,-3.476325332443487,11.487999999999987,39.92060582760378,39.69922948327173,-14.964325332443474,-1.3331177342882738,-1.091501886640545,0.2416158476477288,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four3,radar,16,4,16.24665441961998,11.487999999999987,39.92060582760378,39.69922948327173,4.758654419619992,-1.1425229667111956,-1.0969899429394292,0.04553302377176638,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four3_path_tdm,radar,16,4,-2.5477109152701747,11.487999999999987,39.92060582760378,39.69922948327173,-14.035710915270162,-1.1729177567965527,-1.1037202231432888,0.06919753365326398,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four3_path_tdm_neg,radar,16,4,16.360146381716635,11.487999999999987,39.92060582760378,39.69922948327173,4.872146381716648,-1.134228322929855,-1.0906943411285057,0.043533981801349375,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four4_path_tdm,radar,16,4,15.62038492967823,11.487999999999987,39.92060582760378,39.69922948327173,4.132384929678242,-1.412090162131286,-1.3860545870934022,0.026035575037883785,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four4_path_tdm_neg,radar,16,4,15.620384929678204,11.487999999999987,39.92060582760378,39.69922948327173,4.132384929678217,-1.412090162131288,-1.3860545870934022,0.026035575037885783,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,tx_later4,radar,16,4,18.167390806315943,11.487999999999987,39.92060582760378,39.69922948327173,6.679390806315956,-1.7225048976388906,-1.6515748341190695,0.07093006351982112,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,tx_earlier4,radar,16,4,12.87023170088216,11.487999999999987,39.92060582760378,39.69922948327173,1.3822317008821727,-1.1589600306958145,-1.1565696259851008,0.0023904047107137227,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
64,9Iron,A,two8,radar,22,7,17.014559108683688,20.468999999999983,49.263726340447214,47.26284337702736,-3.4544408913162954,-1.4785684768097413,-1.2345710637778502,0.24399741303189115,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,two8_path_tdm,radar,22,7,16.986388236449976,20.468999999999983,49.263726340447214,47.26284337702736,-3.4826117635500076,-1.4819416210860052,-1.2405324047970328,0.2414092162889725,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,two8_path_tdm_neg,radar,22,7,17.018077554194896,20.468999999999983,49.263726340447214,47.26284337702736,-3.4509224458050873,-1.4752708890082336,-1.229225719622166,0.24604516938606746,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four3,radar,22,7,18.23432466103226,20.468999999999983,49.263726340447214,47.26284337702736,-2.2346753389677225,-1.636181800748205,-1.5965721187822004,0.03960968196600456,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four3_path_tdm,radar,22,7,18.270438394879186,20.468999999999983,49.263726340447214,47.26284337702736,-2.1985616051207977,-1.6496638052030377,-1.6106086420419208,0.0390551631611169,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four3_path_tdm_neg,radar,22,7,18.1988442639735,20.468999999999983,49.263726340447214,47.26284337702736,-2.270155736026485,-1.62310464357336,-1.5827656217847708,0.04033902178858928,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four4_path_tdm,radar,22,7,19.825217093466094,20.468999999999983,49.263726340447214,47.26284337702736,-0.6437829065338896,-1.5541367352192386,-1.5515798931211964,0.002556842098042189,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four4_path_tdm_neg,radar,22,7,19.825217093466158,20.468999999999983,49.263726340447214,47.26284337702736,-0.6437829065338256,-1.5541367352192381,-1.5515798931211955,0.002556842098042633,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,tx_later4,radar,22,7,19.462219349814834,20.468999999999983,49.263726340447214,47.26284337702736,-1.0067806501851493,-1.6476339783883371,-1.637485448860949,0.010148529527388206,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
