shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,direct1,hann,track,none,25,7,13.911285328390443,16.77799999999999,-2.8667146716095484,-0.9661980689135987,-0.919613382295072,0.04658468661852677,nan,nan,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,two2,hann,track,none,25,7,13.558026921792143,16.77799999999999,-3.2199730782078486,-1.0470337165238257,-0.9968977978175986,0.050135918706227134,nan,0.18823431892154147,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four3,hann,track,none,25,7,14.276399973465274,16.77799999999999,-2.5016000265347174,-1.1513948380039878,-1.1368271059979935,0.01456773200599426,0.23784849944250316,0.1551923221761862,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four4,hann,track,none,25,7,13.804852402822249,16.77799999999999,-2.973147597177743,-1.323020419467981,-1.3098050093345228,0.013215410133458283,0.27031819694433823,0.13857359076502324,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,direct1,hann,track,none,16,4,8.772544640362263,11.487999999999987,-2.7154553596377244,-0.7852619054015171,-0.762840727734617,0.022421177666900105,nan,nan,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,two2,hann,track,none,16,4,8.596024713013326,11.487999999999987,-2.8919752869866606,-0.9199555635719187,-0.9029211557411794,0.017034407830739284,nan,0.2633894274779425,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four3,hann,track,none,16,4,8.067558394000287,11.487999999999987,-3.4204416059997005,-0.959240966372604,-0.9526738199394086,0.006567146433195448,0.3825546460520306,0.335341691669579,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four4,hann,track,none,16,4,8.163104532759196,11.487999999999987,-3.3248954672407915,-1.1272330660685375,-1.120325407755364,0.006907658313173526,0.4893595465962888,0.24462460217944854,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,direct1,hann,track,none,22,7,16.542283173009857,20.468999999999983,-3.926716826990127,-0.9443500706806786,-0.8509127387480258,0.0934373319326528,nan,nan,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,two2,hann,track,none,22,7,16.246397487564256,20.468999999999983,-4.222602512435728,-0.996345255916137,-0.907473708648136,0.08887154726800095,nan,0.15338874605295422,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four3,hann,track,none,22,7,18.461252046304256,20.468999999999983,-2.007747953695727,-1.1174177466904578,-1.0984492125920025,0.018968534098455336,0.24269931450232535,0.1651742206440845,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four4,hann,track,none,22,7,18.191776310188594,20.468999999999983,-2.2772236898113896,-1.171784198349668,-1.1517449609973915,0.020039237352276418,0.3112387020949796,0.1444303776711254,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
65,9Iron,A,direct1,hann,track,none,25,7,14.059584722614963,17.449000000000005,-3.3894152773850426,-0.9159985244998193,-0.8813838036734483,0.03461472082637107,nan,nan,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,two2,hann,track,none,25,7,14.102326301676912,17.449000000000005,-3.3466736983230927,-1.0141027379418548,-0.964625090951085,0.04947764699076984,nan,0.18368754321694156,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,four3,hann,track,none,25,7,13.519939892768612,17.449000000000005,-3.9290601072313933,-1.1144536667403282,-1.0909831797387708,0.023470487001557405,0.21790288442904937,0.16665367716805035,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,four4,hann,track,none,25,7,9.058222778720578,17.449000000000005,-8.390777221279427,-1.2662591854404563,-1.2205834954335242,0.04567569000693217,0.4032103630734969,0.1965050336982459,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
66,9Iron,A,direct1,hann,track,none,20,5,14.389449418753397,21.533999999999995,-7.144550581246598,-0.9064838277912599,-0.7283370304412841,0.17814679734997585,nan,nan,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
