shot,club,block,model,velocity_source,speed_source,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,trackman_ball_ms,radar_ball_ms,launch_error_deg,best_cv_log_error,truth_cv_log_error,truth_minus_best_cv,radar_height_m,tilt_deg,tee_distance_m,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
62,9Iron,A,two8,radar,ops,25,7,13.932596326892602,16.77799999999999,44.569814121076114,43.08422175707952,-2.8454036731073895,-1.5057865915878084,-1.3464251577773112,0.15936143381049717,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,two8_path_tdm,radar,ops,25,7,13.912492831414141,16.77799999999999,44.569814121076114,43.08422175707952,-2.86550716858585,-1.5031940621336457,-1.3460469946304616,0.15714706750318408,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,two8_path_tdm_neg,radar,ops,25,7,13.95385025784496,16.77799999999999,44.569814121076114,43.08422175707952,-2.824149742155031,-1.5087095934113617,-1.3474937157018207,0.16121587770954093,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3,radar,ops,25,7,15.039740910715523,16.77799999999999,44.569814121076114,43.08422175707952,-1.738259089284469,-1.5703148381798524,-1.546901986747892,0.02341285143196048,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3_path_tdm,radar,ops,25,7,15.087834683613433,16.77799999999999,44.569814121076114,43.08422175707952,-1.6901653163865582,-1.574701126265562,-1.5513404137464792,0.02336071251908267,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four3_path_tdm_neg,radar,ops,25,7,14.981551542940036,16.77799999999999,44.569814121076114,43.08422175707952,-1.796448457059956,-1.5662665922987848,-1.5430350549859395,0.02323153731284533,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four4_path_tdm,radar,ops,25,7,14.376147623084417,16.77799999999999,44.569814121076114,43.08422175707952,-2.401852376915574,-1.6576039440799402,-1.6117100348537998,0.04589390922614034,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,four4_path_tdm_neg,radar,ops,25,7,14.376147623084487,16.77799999999999,44.569814121076114,43.08422175707952,-2.401852376915505,-1.6576039440799413,-1.6117100348537992,0.045893909226142116,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,tx_later4,radar,ops,25,7,15.765523993900736,16.77799999999999,44.569814121076114,43.08422175707952,-1.0124760060992557,-1.8643505539286735,-1.8435328576963155,0.020817696232358074,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
62,9Iron,A,tx_earlier4,radar,ops,25,7,1.4374907905807144,16.77799999999999,44.569814121076114,43.08422175707952,-15.340509209419277,-1.7339290257194746,-1.459400263381065,0.2745287623384096,0.1524,10.404948650719305,1.5709841628737065,2.309769115208571,4.619538230417142,17.412555575782257,0.7437859456877515
63,9Iron,A,two8,radar,ops,16,4,3.982878487755507,11.487999999999987,39.92060582760378,39.69922948327173,-7.5051215122444805,-1.2665894309781887,-1.0969280856261703,0.16966134535201838,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,two8_path_tdm,radar,ops,16,4,-2.5404593995013633,11.487999999999987,39.92060582760378,39.69922948327173,-14.028459399501351,-1.4094445838847203,-1.1022354020806922,0.3072091818040281,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,two8_path_tdm_neg,radar,ops,16,4,-3.4768877160928486,11.487999999999987,39.92060582760378,39.69922948327173,-14.964887716092836,-1.3329951161693243,-1.0919521332651947,0.24104298290412962,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four3,radar,ops,16,4,16.253623904702764,11.487999999999987,39.92060582760378,39.69922948327173,4.765623904702776,-1.1425512568401708,-1.0968960341533496,0.045655222686821206,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four3_path_tdm,radar,ops,16,4,-2.5483646112594753,11.487999999999987,39.92060582760378,39.69922948327173,-14.036364611259462,-1.1675667261690945,-1.1035120288573095,0.06405469731178504,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four3_path_tdm_neg,radar,ops,16,4,16.362742436368794,11.487999999999987,39.92060582760378,39.69922948327173,4.874742436368807,-1.1343973507453824,-1.0907006704534652,0.0436966802919172,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four4_path_tdm,radar,ops,16,4,15.627051515513354,11.487999999999987,39.92060582760378,39.69922948327173,4.139051515513367,-1.4121108876185906,-1.3860051524163501,0.026105735202240465,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,four4_path_tdm_neg,radar,ops,16,4,15.627051515513518,11.487999999999987,39.92060582760378,39.69922948327173,4.139051515513531,-1.4121108876185917,-1.3860051524163512,0.026105735202240465,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,tx_later4,radar,ops,16,4,18.17328729972514,11.487999999999987,39.92060582760378,39.69922948327173,6.685287299725152,-1.7225276728848709,-1.6515034341004615,0.07102423878440933,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
63,9Iron,A,tx_earlier4,radar,ops,16,4,12.876559394515834,11.487999999999987,39.92060582760378,39.69922948327173,1.3885593945158465,-1.158968441584403,-1.1565543887437357,0.0024140528406673134,0.1524,10.404948650719305,1.5709841628737065,1.418827293737135,2.83765458747427,10.666081418551077,1.0030072176301053
64,9Iron,A,two8,radar,ops,22,7,17.003181497561293,20.468999999999983,49.263726340447214,47.26284337702736,-3.4658185024386903,-1.4786994060635796,-1.2339808273019337,0.24471857876164593,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,two8_path_tdm,radar,ops,22,7,16.9577704766295,20.468999999999983,49.263726340447214,47.26284337702736,-3.511229523370485,-1.4821224781162976,-1.2400228677046699,0.24209961041162775,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,two8_path_tdm_neg,radar,ops,22,7,17.01069741159302,20.468999999999983,49.263726340447214,47.26284337702736,-3.458302588406962,-1.4753537652813524,-1.2285696239831823,0.24678414129817017,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four3,radar,ops,22,7,18.22911703869056,20.468999999999983,49.263726340447214,47.26284337702736,-2.239882961309423,-1.6361966123784277,-1.5963858494154157,0.039810762963012,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four3_path_tdm,radar,ops,22,7,18.265999598141065,20.468999999999983,49.263726340447214,47.26284337702736,-2.203000401858919,-1.6498111440718162,-1.6105923645901747,0.03921877948164143,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four3_path_tdm_neg,radar,ops,22,7,18.193302958805415,20.468999999999983,49.263726340447214,47.26284337702736,-2.2756970411945687,-1.62295893868485,-1.58241425151957,0.040544687165279925,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four4_path_tdm,radar,ops,22,7,19.820389636601572,20.468999999999983,49.263726340447214,47.26284337702736,-0.6486103633984115,-1.554134146888001,-1.551543944631776,0.0025902022562249716,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,four4_path_tdm_neg,radar,ops,22,7,19.820389636601508,20.468999999999983,49.263726340447214,47.26284337702736,-0.6486103633984754,-1.5541341468880006,-1.551543944631776,0.0025902022562245275,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,tx_later4,radar,ops,22,7,19.4567488144938,20.468999999999983,49.263726340447214,47.26284337702736,-1.0122511855061838,-1.64763324390685,-1.6374014957556262,0.01023174815122374,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
64,9Iron,A,tx_earlier4,radar,ops,22,7,16.500849959210903,20.468999999999983,49.263726340447214,47.26284337702736,-3.96815004078908,-1.5151827010456758,-1.4771966200413458,0.037986081004329986,0.1524,10.404948650719305,1.5709841628737065,2.7130779339884725,5.426155867976945,20.481874926733937,0.6503258117595764
65,9Iron,A,two8,radar,ops,25,7,14.786331797554315,17.449000000000005,49.75546952533371,47.4667803687637,-2.6626682024456905,-1.3827228342100768,-1.2910449845906804,0.0916778496193964,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,two8_path_tdm,radar,ops,25,7,14.671056772338817,17.449000000000005,49.75546952533371,47.4667803687637,-2.777943227661188,-1.3826342393465887,-1.2886157778542686,0.09401846149232007,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,two8_path_tdm_neg,radar,ops,25,7,14.947282513942847,17.449000000000005,49.75546952533371,47.4667803687637,-2.5017174860571583,-1.383728995580657,-1.2934529057277473,0.0902760898529098,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,four3,radar,ops,25,7,14.261681616912817,17.449000000000005,49.75546952533371,47.4667803687637,-3.187318383087188,-1.4719898137158203,-1.4213498519979137,0.05063996171790652,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,four3_path_tdm,radar,ops,25,7,14.31993701664784,17.449000000000005,49.75546952533371,47.4667803687637,-3.1290629833521653,-1.473905810205522,-1.4258682084459096,0.04803760175961247,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,four3_path_tdm_neg,radar,ops,25,7,14.200599760945773,17.449000000000005,49.75546952533371,47.4667803687637,-3.2484002390542326,-1.4706864717229604,-1.417244212687518,0.05344225903544242,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,four4_path_tdm,radar,ops,25,7,13.486628971152669,17.449000000000005,49.75546952533371,47.4667803687637,-3.962371028847336,-1.795180978260936,-1.7344735681829204,0.06070741007801561,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,four4_path_tdm_neg,radar,ops,25,7,13.486628971152438,17.449000000000005,49.75546952533371,47.4667803687637,-3.962371028847567,-1.7951809782609358,-1.7344735681829193,0.0607074100780165,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,tx_later4,radar,ops,25,7,9.439974026934603,17.449000000000005,49.75546952533371,47.4667803687637,-8.009025973065402,-1.8091066057167164,-1.7348990825057835,0.07420752321093294,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
65,9Iron,A,tx_earlier4,radar,ops,25,7,14.549613221798019,17.449000000000005,49.75546952533371,47.4667803687637,-2.899386778201986,-1.7386740285701714,-1.7035662197328105,0.035107808837360865,0.1524,10.404948650719305,1.5709841628737065,2.397011687880668,4.794023375761336,18.075606447590822,0.7223149015488257
66,9Iron,A,two8,radar,ops,20,5,15.427230067948235,21.533999999999995,50.023693080726346,48.11344544831894,-6.10676993205176,-1.505362854921709,-1.0913185776744183,0.41404427724729076,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,two8_path_tdm,radar,ops,20,5,15.539616361683343,21.533999999999995,50.023693080726346,48.11344544831894,-5.994383638316652,-1.5032306195313478,-1.0965418932248672,0.4066887263064807,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,two8_path_tdm_neg,radar,ops,20,5,15.32604143063429,21.533999999999995,50.023693080726346,48.11344544831894,-6.207958569365706,-1.5078823711312082,-1.08659737760367,0.42128499352753823,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,four3,radar,ops,20,5,13.884697036309243,21.533999999999995,50.023693080726346,48.11344544831894,-7.649302963690753,-1.658046325977466,-1.4959993764093635,0.1620469495681025,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,four3_path_tdm,radar,ops,20,5,15.641588504444437,21.533999999999995,50.023693080726346,48.11344544831894,-5.892411495555558,-1.6589216934261244,-1.5026437389324176,0.15627795449370674,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,four3_path_tdm_neg,radar,ops,20,5,13.50145862833524,21.533999999999995,50.023693080726346,48.11344544831894,-8.032541371664756,-1.6596784235338535,-1.4886603597335897,0.17101806380026385,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,four4_path_tdm,radar,ops,20,5,18.214549527025113,21.533999999999995,50.023693080726346,48.11344544831894,-3.319450472974882,-1.7565022429974761,-1.6526969622124525,0.1038052807850236,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,four4_path_tdm_neg,radar,ops,20,5,18.214549527025287,21.533999999999995,50.023693080726346,48.11344544831894,-3.319450472974708,-1.7565022429974746,-1.652696962212453,0.1038052807850216,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,tx_later4,radar,ops,20,5,15.996835671865838,21.533999999999995,50.023693080726346,48.11344544831894,-5.537164328134157,-1.6274720593269822,-1.6085857961002739,0.01888626322670839,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
66,9Iron,A,tx_earlier4,radar,ops,20,5,16.86490620096102,21.533999999999995,50.023693080726346,48.11344544831894,-4.669093799038976,-1.9433651396616507,-1.766227454910306,0.17713768475134462,0.1524,10.404948650719305,1.5709841628737065,2.8475994948523042,5.6951989897046085,21.50942147494991,0.6255257799251778
67,9Iron,A,two8,radar,ops,22,6,17.452878329260102,21.057999999999993,48.23553604477545,45.86818820896334,-3.6051216707398908,-1.407945627547267,-1.2940043313794103,0.11394129616785675,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,two8_path_tdm,radar,ops,22,6,17.45585537860522,21.057999999999993,48.23553604477545,45.86818820896334,-3.602144621394771,-1.4018619002140442,-1.289697527055983,0.11216437315806127,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,two8_path_tdm_neg,radar,ops,22,6,17.431336347051147,21.057999999999993,48.23553604477545,45.86818820896334,-3.626663652948846,-1.4156040713318205,-1.3008163682013896,0.11478770313043096,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,four3,radar,ops,22,6,17.083316019147414,21.057999999999993,48.23553604477545,45.86818820896334,-3.9746839808525785,-1.8473173948407808,-1.6823390976208563,0.16497829721992452,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,four3_path_tdm,radar,ops,22,6,17.119890025098773,21.057999999999993,48.23553604477545,45.86818820896334,-3.93810997490122,-1.846692514421431,-1.6908730232262927,0.15581949119513827,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,four3_path_tdm_neg,radar,ops,22,6,17.063025753150043,21.057999999999993,48.23553604477545,45.86818820896334,-3.9949742468499494,-1.8492600797709653,-1.6788820796464892,0.17037800012447613,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,four4_path_tdm,radar,ops,22,6,19.023858359669912,21.057999999999993,48.23553604477545,45.86818820896334,-2.0341416403300805,-1.8830784963071387,-1.854550243127376,0.02852825317976282,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,four4_path_tdm_neg,radar,ops,22,6,19.02385835966998,21.057999999999993,48.23553604477545,45.86818820896334,-2.034141640330013,-1.883078496307139,-1.8545502431273755,0.028528253179763485,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,tx_later4,radar,ops,22,6,18.302936513695723,21.057999999999993,48.23553604477545,45.86818820896334,-2.7550634863042696,-2.023818343708258,-1.9533154294652277,0.07050291424303046,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
67,9Iron,A,tx_earlier4,radar,ops,22,6,12.407712413316782,21.057999999999993,48.23553604477545,45.86818820896334,-8.650287586683211,-1.7511413668645741,-1.6683772373857033,0.0827641294788708,0.1524,10.404948650719305,1.5709841628737065,2.6082585966931027,5.216517193386205,19.67889549826336,0.660964546883451
68,9Iron,A,two8,radar,ops,20,5,-1.3170954039749134,5.689999999999997,48.23553604477545,47.56644566975043,-7.00709540397491,-1.7625777500837394,-1.6634390954640896,0.09913865461964977,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,two8_path_tdm,radar,ops,20,5,-2.0717135250896215,5.689999999999997,48.23553604477545,47.56644566975043,-7.761713525089618,-1.8294162244530612,-1.662981374138349,0.16643485031471217,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,two8_path_tdm_neg,radar,ops,20,5,-1.8240787064734225,5.689999999999997,48.23553604477545,47.56644566975043,-7.51407870647342,-1.841475391931289,-1.6635793032056518,0.1778960887256371,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,four3,radar,ops,20,5,-1.4858436533016515,5.689999999999997,48.23553604477545,47.56644566975043,-7.175843653301648,-1.3739238771454505,-1.3147515311645939,0.05917234598085663,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
