shot,club,block,model,window,center_source,tdm_residual,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
69,9Iron,A,direct1,hann,peak,none,all,3.8,18,6,18.55069253891086,21.013999999999996,-2.463307461089137,-0.9941716504240691,-0.9645891459081019,0.029582504515967223,nan,nan,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,two2,hann,peak,none,all,3.8,18,6,18.039591041946657,21.013999999999996,-2.9744089580533384,-1.0456569290269215,-1.008871208101532,0.036785720925389453,nan,0.1169263081812515,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,four3,hann,peak,none,all,3.8,18,6,17.711343348391402,21.013999999999996,-3.3026566516085936,-1.2526466706101578,-1.216997889519449,0.03564878109070868,0.2541636500661161,0.12050790016816398,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,four4,hann,peak,none,all,3.8,18,6,17.671501892499148,21.013999999999996,-3.342498107500848,-1.3131493790609412,-1.2768787046829673,0.03627067437797393,0.2884595551650715,0.16030215060902106,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
70,9Iron,A,direct1,hann,peak,none,all,3.8,21,6,18.440582894444617,22.12999999999998,-3.689417105555364,-0.8834301644716649,-0.8227417276021199,0.06068843686954495,nan,nan,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
70,9Iron,A,two2,hann,peak,none,all,3.8,21,6,18.213495448073722,22.12999999999998,-3.916504551926259,-0.9239185860229332,-0.8643680192291455,0.059550566793787674,nan,0.16190832329793106,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
70,9Iron,A,four3,hann,peak,none,all,3.8,21,6,19.42313526817957,22.12999999999998,-2.70686473182041,-1.0790220711482166,-1.0455020882127672,0.03351998293544933,0.17846838091973197,0.1479952037034993,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
70,9Iron,A,four4,hann,peak,none,all,3.8,21,6,20.07067359986386,22.12999999999998,-2.059326400136122,-1.1588588086746936,-1.1421930982923056,0.016665710382387955,0.28248835165984953,0.14446854728876593,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
71,9Iron,A,direct1,hann,peak,none,all,3.8,17,5,18.71940981918304,21.279999999999987,-2.5605901808169484,-0.8779827787497373,-0.853321035055522,0.024661743694215255,nan,nan,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,two2,hann,peak,none,all,3.8,17,5,19.796400235465242,21.279999999999987,-1.4835997645347447,-0.911672671009244,-0.8964594138659114,0.015213257143332548,nan,0.12201535704345776,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,four3,hann,peak,none,all,3.8,17,5,18.058456635029685,21.279999999999987,-3.2215433649703016,-1.090358423214711,-1.0641293422194933,0.026229080995217702,0.3026681380124471,0.13624002871182206,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,four4,hann,peak,none,all,3.8,17,5,17.772365390629705,21.279999999999987,-3.5076346093702817,-1.1495361518202167,-1.1231160628848174,0.026420088935399377,0.3181566733149238,0.11041595494894191,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
