shot,club,trackman_launch_deg,trackman_ball_mph,ops_ball_mph,lcmf_v1_angle_deg,status
62,9Iron,16.77799999999999,99.7,99.56811603223498,17.98913431383232,accepted
63,9Iron,11.487999999999987,89.30000000000001,89.34079713371757,10.296062452756109,accepted
64,9Iron,20.468999999999983,110.2,109.58499428619126,20.35119913289901,accepted
65,9Iron,17.449000000000005,111.3,110.64742349790245,18.141574162126666,accepted
66,9Iron,21.533999999999995,111.9,111.3321182221324,19.91979910577347,accepted
67,9Iron,21.057999999999993,107.9,107.53620121727471,21.73738481843408,accepted
68,9Iron,5.689999999999997,107.9,107.41434724908233,3.426782768308228,accepted
69,9Iron,21.013999999999996,116.8,116.21880677979712,21.97301650820571,accepted
70,9Iron,22.12999999999998,109.0,108.37627958862663,22.172201644936294,accepted
71,9Iron,21.279999999999987,110.60000000000001,110.12424813461858,21.740360834177658,accepted
72,7Iron,1.6789999999999963,76.5,78.31234219192231,6.82271758281502,accepted
73,7Iron,18.677999999999987,112.9,112.56526529141321,19.319935773140564,accepted
74,7Iron,16.30699999999998,120.60000000000001,119.82378089364079,18.20771327570191,accepted
75,7Iron,17.240999999999993,117.8,117.05684008322154,18.433329528269503,accepted
76,7Iron,12.092000000000013,103.99999999999999,103.87222681029684,12.907539445437545,accepted
77,7Iron,13.927999999999987,103.9,103.7331605764907,15.132242569614792,accepted
78,7Iron,6.121999999999985,69.3,71.42599697063523,2.1773125372344917,accepted
79,7Iron,15.657999999999998,111.3,110.35050117667224,13.648832775231673,accepted
80,7Iron,14.687999999999988,106.1,105.77466834200878,15.536307378597456,accepted
81,7Iron,9.146999999999982,109.0,108.1077865087191,9.155215305844973,accepted
82,7Iron,17.27599999999998,108.6,108.12487583878446,16.934515573446994,accepted
83,7Iron,18.87599999999999,112.0,111.12716285600973,17.959579967814705,accepted
84,7Iron,16.949999999999992,122.0,121.02295223205194,16.32319259647268,accepted
86,5Iron,14.677,111.9,111.55801448479133,14.611781234542038,accepted
87,5Iron,15.406999999999991,118.2,117.5106498962215,15.198801006863699,accepted
88,5Iron,0.5110000000000001,98.6,88.03414582295596,2.8234663924995673,accepted
89,5Iron,15.646999999999995,123.4,120.2,,no_measurement_insufficient_strict_coverage
90,5Iron,12.959999999999992,120.9,120.30169847924095,12.474524296398426,accepted
91,5Iron,9.892999999999994,105.6,104.95526860775242,11.949853250634536,accepted
92,5Iron,10.917999999999983,107.6,106.71805716044807,8.466893326742973,accepted
93,5Iron,1.5239999999999743,87.0,89.60143044017296,1.3445242467950198,accepted
94,5Iron,13.115999999999982,129.6,128.59632247663376,12.537139648612838,accepted
95,5Iron,14.271999999999982,114.6,114.09162878060336,15.863903849660431,accepted
96,5Iron,14.196999999999997,129.6,128.47518690682801,13.24896951562145,accepted
97,5Iron,14.368000000000002,127.40000000000002,126.30412207522279,12.57667723840265,accepted
98,5Iron,14.74200000000001,132.1,130.92887904196073,14.721228505542612,accepted
99,5Iron,14.71499999999999,130.8,129.73349635071324,14.739330868199053,accepted
100,5Iron,16.019999999999992,124.2,121.0,,no_measurement_insufficient_strict_coverage
101,5Iron,14.392000000000003,127.7,126.82873438509031,15.574953607500763,accepted
102,5Iron,15.962999999999989,122.2,119.0,,no_measurement_insufficient_strict_coverage
103,Driver,10.004000000000007,148.1,147.01143132088092,12.004582470326133,accepted
104,Driver,17.990000000000002,137.7,136.52982854962073,16.736719630465785,accepted
105,Driver,5.857999999999973,143.9,140.63755804523203,3.3547208099775903,accepted
106,Driver,12.557000000000004,154.3,151.0,,no_measurement_insufficient_strict_coverage
109,Driver,17.058999999999973,144.4,140.6,,no_measurement_insufficient_strict_coverage
110,Driver,14.276000000000021,153.1,149.3,,no_measurement_insufficient_strict_coverage
111,Driver,10.58699999999998,147.3,144.1,,no_measurement_insufficient_strict_coverage
112,Driver,10.008999999999974,153.4,152.5361705325958,13.25002161663579,accepted
113,Driver,13.960999999999997,146.6,145.38916089892493,13.636813233284094,accepted
114,Driver,14.620999999999993,153.8,152.4149024010712,15.982958905955192,accepted
115,SandWedge,31.661999999999985,70.1,70.84157153955839,31.434239686795706,accepted
116,SandWedge,29.217000000000002,66.5,73.67491651019,30.46642957180163,accepted
117,SandWedge,30.729999999999986,75.6,77.87646219220503,28.51349189221254,accepted
118,SandWedge,33.168000000000006,72.8,74.68583759772108,32.029635649012754,accepted
119,SandWedge,26.353999999999992,74.1,75.67066747154757,26.704616628969198,accepted
120,SandWedge,27.744999999999997,69.6,71.20749677096869,26.72642206256245,accepted
121,SandWedge,24.805000000000007,69.1,69.75380893399749,24.534633736410953,accepted
122,SandWedge,31.036999999999985,69.5,70.19699612478762,30.387665345329463,accepted
123,SandWedge,29.30099999999999,81.8,81.89589558791532,28.936342457385383,accepted
124,SandWedge,28.975,84.19999999999999,84.10313867357594,27.523709263787048,accepted
