shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
65,9Iron,A,direct1,hann,track,positive,25,7,14.059584722614963,17.449000000000005,-3.3894152773850426,-0.9159985244998193,-0.8813838036734483,0.03461472082637107,nan,nan,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,two2,hann,track,positive,25,7,14.080018870279707,17.449000000000005,-3.3689811297202983,-1.017240063961059,-0.9664979813749962,0.05074208258606283,nan,0.18395178613335977,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,four3,hann,track,positive,25,7,13.604414326317823,17.449000000000005,-3.8445856736821824,-1.1177393848081518,-1.094918655439481,0.022820729368670856,0.21487905203666693,0.1659616309921865,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,four4,hann,track,positive,25,7,9.09694084803001,17.449000000000005,-8.352059151969994,-1.2662970965801972,-1.2217489606400471,0.04454813594015006,0.39828310704460396,0.1890187651570067,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
66,9Iron,A,direct1,hann,track,positive,20,5,14.389449418753397,21.533999999999995,-7.144550581246598,-0.9064838277912599,-0.7283370304412841,0.17814679734997585,nan,nan,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
66,9Iron,A,two2,hann,track,positive,20,5,13.898104737576693,21.533999999999995,-7.635895262423302,-0.9797808804761401,-0.7818296390464541,0.197951241429686,nan,0.2133105909645957,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
66,9Iron,A,four3,hann,track,positive,20,5,16.82056967838617,21.533999999999995,-4.713430321613824,-1.1917345893551308,-1.0996863436660234,0.09204824568910741,0.25876704269498274,0.10983931395548988,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
66,9Iron,A,four4,hann,track,positive,20,5,18.323662950941603,21.533999999999995,-3.210337049058392,-1.2889186817621685,-1.2218906343277713,0.06702804743439716,0.31804337481052347,0.16475918937672523,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
67,9Iron,A,direct1,hann,track,positive,22,6,16.297381339008364,21.057999999999993,-4.760618660991629,-1.005883841990079,-0.9248781890032483,0.08100565298683082,nan,nan,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,two2,hann,track,positive,22,6,16.41475423730132,21.057999999999993,-4.6432457626986725,-1.0552614505310889,-0.9783765210862075,0.07688492944488134,nan,0.13499151483516536,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,four3,hann,track,positive,22,6,15.488812057235933,21.057999999999993,-5.56918794276406,-1.206650275726447,-1.1396410597287303,0.0670092159977167,0.2694915453506076,0.13011042611453347,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,four4,hann,track,positive,22,6,12.793777980216355,21.057999999999993,-8.264222019783638,-1.2928657784822708,-1.2595491902305798,0.03331658825169104,0.3647439665715421,0.18444040395962594,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
68,9Iron,A,direct1,hann,track,positive,20,5,-2.894265812153702,5.689999999999997,-8.5842658121537,-1.1079830852434702,-0.7822265323508406,0.3257565528926296,nan,nan,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,two2,hann,track,positive,20,5,-0.9719993214374004,5.689999999999997,-6.661999321437397,-1.2307896029643373,-1.1900543525865666,0.040735250377770704,nan,1.0702804179374323,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,four3,hann,track,positive,20,5,-0.9781079625306215,5.689999999999997,-6.668107962530618,-1.261039417899201,-1.223480395942054,0.03755902195714711,0.9973129989201692,0.9974315824567677,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,four4,hann,track,positive,20,5,-1.9731978379978221,5.689999999999997,-7.663197837997819,-1.417701452150389,-1.3998964030589731,0.017805049091415892,1.0087284171121689,1.0234279789049947,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
69,9Iron,A,direct1,hann,track,positive,19,7,18.608990350207502,21.013999999999996,-2.4050096497924933,-0.9536550018398542,-0.9190663887119405,0.034588613127913725,nan,nan,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,two2,hann,track,positive,19,7,18.213737898263208,21.013999999999996,-2.800262101736788,-1.000316135373731,-0.9644859981470748,0.03583013722665629,nan,0.14226603615515704,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,four3,hann,track,positive,19,7,18.499555037017114,21.013999999999996,-2.514444962982882,-1.1853095981786002,-1.1568773097633478,0.02843228841525236,0.2545993245298938,0.12954543987178713,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
69,9Iron,A,four4,hann,track,positive,19,7,18.700425581266114,21.013999999999996,-2.3135744187338823,-1.249547124262838,-1.2250847202376918,0.02446240402514621,0.2907869113499799,0.15776102120355026,52.21418544976619,50.25057192151659,0.1524,10.404948650719305
70,9Iron,A,direct1,hann,track,positive,22,7,18.53091515866632,22.12999999999998,-3.59908484133366,-0.8414125327056717,-0.7807730640840536,0.060639468621618176,nan,nan,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
70,9Iron,A,two2,hann,track,positive,22,7,18.338006900747235,22.12999999999998,-3.791993099252746,-0.8843139056327816,-0.8229827403781634,0.061331165254618125,nan,0.16203129798346044,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
