shot,club,block,strict_angle_pool,ops_track_found,same_track,ops_ball_ms,trackman_ball_ms,tm_guided_radial_ms,ops_guided_radial_ms,radial_speed_delta_ms,first_time_delta_ms,last_time_delta_ms,ops_track_rms_bins,ops_track_inliers
62,9Iron,A,True,True,True,43.318104195910486,44.569814121076114,43.08422175707952,43.08422175707952,0.0,0.0,0.0,0.2172238061436437,71
63,9Iron,A,True,True,True,39.16063908732465,39.92060582760378,39.69922948327173,39.69922948327173,0.0,0.0,0.0,0.2632294425898194,48
64,9Iron,A,True,True,True,47.69908893399018,49.263726340447214,47.26284337702736,47.26284337702736,0.0,0.0,0.0,0.1990732441131189,65
65,9Iron,A,True,True,True,48.280239970674224,49.75546952533371,47.4667803687637,47.4667803687637,0.0,0.0,0.0,0.4019033335616037,72
66,9Iron,A,True,True,True,48.50375960016808,50.023693080726346,48.11344544831894,48.11344544831894,0.0,0.0,0.0,0.28466210672599235,57
67,9Iron,A,True,True,True,46.715602564217185,48.23553604477545,45.86818820896334,45.86818820896334,0.0,0.0,0.0,0.3574131618445756,74
68,9Iron,A,True,True,True,47.6543850080914,48.23553604477545,47.56644566975043,47.56644566975043,0.0,0.0,0.0,0.16844275382349483,62
69,9Iron,A,True,True,True,50.60484411741039,52.21418544976619,50.25057192151659,50.25057192151659,0.0,0.0,0.0,0.21360307628096623,85
70,9Iron,A,True,True,True,47.07323397140736,48.727279229661946,46.809339155828525,46.809339155828525,0.0,0.0,0.0,0.1967360302767753,85
71,9Iron,A,True,True,True,47.87790463758527,49.442542044042305,47.82772354287831,47.82772354287831,0.0,0.0,0.0,0.1781494426238228,43
72,7Iron,A,True,True,True,34.46672686795354,34.19850331256091,34.01207683687395,34.01207683687395,0.0,0.0,0.0,0.22310280196960144,71
73,7Iron,A,True,True,True,49.08491063685212,50.470732339714075,48.94787602387909,48.94787602387909,0.0,0.0,0.0,0.189593975257627,61
74,7Iron,A,True,True,True,52.39300115336128,53.91293463391955,52.245087594089,52.245087594089,0.0,0.0,0.0,0.20497081478275228,55
75,7Iron,A,True,True,True,51.14129122819566,52.66122470875392,51.04982513255473,51.04982513255473,0.0,0.0,0.0,0.18435269077529087,80
76,7Iron,A,True,True,True,45.50859656495033,46.49208293472332,45.36356297306607,45.36356297306607,0.0,0.0,0.0,0.33011803497278686,73
77,7Iron,A,True,True,True,45.329780861355246,46.447379008824555,45.31103690428078,45.31103690428078,0.0,0.0,0.0,0.18274519826515848,71
78,7Iron,A,True,True,True,31.739787388128423,30.97982064784929,30.635365440809792,30.635365440809792,0.0,0.0,0.0,0.2523887123893206,79
79,7Iron,A,True,True,True,48.36964782247177,49.75546952533371,47.30214778733609,47.30214778733609,0.0,0.0,0.0,0.44194311062416575,82
80,7Iron,A,True,True,True,46.22385937933069,47.430865378597545,45.21606063570799,45.21606063570799,0.0,0.0,0.0,0.5041336793778693,67
81,7Iron,A,True,True,True,47.60968108219264,48.727279229661946,47.111467292198604,47.111467292198604,0.0,0.0,0.0,0.3635082192500132,49
82,7Iron,A,True,True,True,47.20734574910368,48.548463526066854,46.632556508514135,46.632556508514135,0.0,0.0,0.0,0.26187103430077074,77
83,7Iron,A,True,True,True,48.50375960016808,50.06839700662512,48.107925317263614,48.107925317263614,0.0,0.0,0.0,0.208337242554213,67
84,7Iron,A,True,True,True,53.0188561159441,54.53878959650236,52.80983073560512,52.80983073560512,0.0,0.0,0.0,0.290475333063494,38
86,5Iron,A,True,True,True,48.861391007358264,50.023693080726346,47.53024373748418,47.53024373748418,0.0,0.0,0.0,0.5548041149693586,55
87,5Iron,A,True,True,True,51.49892263538584,52.84004041234901,51.122749823040635,51.122749823040635,0.0,0.0,0.0,0.18475104489104918,76
88,5Iron,A,True,True,False,39.0712312355271,44.07807093618961,43.00582860650462,42.18257135851529,-0.8232572479893321,0.0,-6.81000000000001,0.2847238975336287,53
89,5Iron,A,False,True,True,53.734118930324456,55.164644559085176,44.168005183607725,43.17598736651002,-0.9920178170977039,0.0,0.0,0.4840793205669841,27
90,5Iron,A,True,True,True,52.88474433824778,54.04704641161587,50.56141437408992,50.56141437408992,0.0,0.0,0.0,0.611477426110953,38
91,5Iron,A,True,True,True,46.0450436757356,47.20734574910368,46.19584787565755,46.19584787565755,0.0,0.0,0.0,0.17910937784879422,44
92,5Iron,A,True,True,True,47.028530045508596,48.10142426707913,46.135109857309985,46.135109857309985,0.0,0.0,0.0,0.25904359315175235,48
93,5Iron,A,True,True,True,39.87590190170501,38.89241553193201,38.26469086258259,38.26469086258259,0.0,0.0,0.0,0.2646997101055498,74
94,5Iron,A,True,True,True,56.59517018784589,57.93628796480906,56.37819553311256,56.37819553311256,0.0,0.0,0.0,0.20830127621625158,86
95,5Iron,A,True,True,True,49.9342852289288,51.2306990799932,48.76380628406203,48.76380628406203,0.0,0.0,0.0,0.4762796845072622,46
96,5Iron,A,True,True,True,56.50576233604835,57.93628796480906,56.177827827840886,56.177827827840886,0.0,0.0,0.0,0.16779785964004773,56
97,5Iron,A,True,True,True,55.566979892174125,56.95280159503608,55.24302226726476,55.24302226726476,0.0,0.0,0.0,0.2706411829362683,58
98,5Iron,A,True,True,True,57.53395263172011,59.05388611227838,57.17589581846707,57.17589581846707,0.0,0.0,0.0,0.1869151509341215,70
99,5Iron,A,True,True,True,56.997505520934844,58.47273507559434,56.6371797113006,56.6371797113006,0.0,0.0,0.0,0.1838296132321144,66
100,5Iron,A,False,True,True,54.09175033751464,55.52227596627536,49.9598624533676,49.9598624533676,0.0,0.0,0.0,0.569957475494578,26
101,5Iron,A,True,True,True,55.65638774397167,57.08691337273239,55.92534376491948,55.92534376491948,0.0,0.0,0.0,0.3542747369865236,59
102,5Iron,A,False,True,True,53.19767181953919,54.62819744829991,52.45010516212929,52.45010516212929,0.0,0.0,0.0,0.4220117862078757,30
103,Driver,A,True,True,True,64.91010040501756,66.20651425608196,65.04050420858877,65.04050420858877,0.0,0.0,0.0,0.1937991818289335,51
104,Driver,A,True,True,True,59.992668556152594,61.557305962609625,58.72067316160003,58.72067316160003,0.0,0.0,0.0,0.5297090275148506,67
105,Driver,A,True,True,True,62.54079233238263,64.32894936833353,62.482001443068725,62.482001443068725,0.0,0.0,0.0,0.24441888036644213,53
106,Driver,A,False,True,True,67.50292810714636,68.97815766180587,66.27469734027866,66.27469734027866,0.0,0.0,0.0,0.1899446473643315,32
109,Driver,A,False,True,True,62.85371981367403,64.55246899782739,59.90663010024777,59.90663010024777,0.0,0.0,0.0,0.26874721888123904,24
110,Driver,A,False,True,True,66.74296136686723,68.44171055102058,63.46236334593921,63.46236334593921,0.0,0.0,0.0,0.22124856003231702,28
111,Driver,A,False,True,True,64.41835722013107,65.84888284889179,63.66160446784031,63.66160446784031,0.0,0.0,0.0,0.17905576067831494,38
112,Driver,A,True,True,True,67.32411240355127,68.57582232871691,66.71210258129634,66.71210258129634,0.0,0.0,0.0,0.36559361535296314,44
113,Driver,A,True,True,True,64.10542973883966,65.53595536760038,63.52557867311998,63.52557867311998,0.0,0.0,0.0,0.21238751614429147,54
114,Driver,A,True,True,True,67.14529669995618,68.754638032312,66.41769366658134,66.41769366658134,0.0,0.0,0.0,0.3290671484346746,67
115,SandWedge,A,True,True,True,29.683406796784894,31.33745205503947,28.836434147209175,28.836434147209175,0.0,0.0,0.0,0.2253489370047916,51
116,SandWedge,A,True,True,True,31.024524573748067,29.728110722683663,30.553232406976534,30.553232406976534,0.0,0.0,0.0,0.6547031559821563,43
117,SandWedge,A,True,True,True,33.03620123919283,33.79616797947195,31.204397850742673,31.204397850742673,0.0,0.0,0.0,0.21631134002039892,49
118,SandWedge,A,True,True,True,31.382155980938244,32.544458054306325,27.391119567093856,27.391119567093856,0.0,0.0,0.0,0.5609461271714471,44
119,SandWedge,A,True,True,True,32.142122721217376,33.125609090990366,31.457996680962957,31.457996680962957,0.0,0.0,0.0,0.26687110905298417,49
120,SandWedge,A,True,True,True,30.13044605577262,31.113932425545606,29.06312767179844,29.06312767179844,0.0,0.0,0.0,0.2060110619632445,44
121,SandWedge,A,True,True,True,29.593998944987348,30.890412796051745,29.415892449724353,29.415892449724353,0.0,0.0,0.0,0.20783377810846057,49
122,SandWedge,A,True,True,True,29.459887167291033,31.069228499646837,27.266565734039325,26.514429289129602,-0.7521364449097234,-0.2699999999999959,0.0,0.4581848734539064,38
123,SandWedge,A,True,True,True,34.82435827514372,36.567811385195846,33.55577069682823,33.55577069682823,0.0,0.0,0.0,0.3107028323991855,60
124,SandWedge,A,True,True,True,35.89725249671426,37.64070560676638,33.66567501422932,33.66567501422932,0.0,0.0,0.0,0.3309189864777612,45
130,9Iron (relabeled),B,True,True,True,43.22869634411294,45.73211619444419,46.20615528850821,46.20615528850821,0.0,0.0,0.0,0.4866143941386836,50
131,9Iron (relabeled),B,True,True,True,46.89441826781228,49.263726340447214,47.40927947969549,47.40927947969549,0.0,0.0,0.0,0.33461502562111795,42
132,9Iron (relabeled),B,True,True,True,39.47356656861605,41.440539308162045,41.26240080570217,41.26240080570217,0.0,0.0,0.0,0.4068519434313966,45
133,9Iron,B,True,True,True,45.10626123186138,47.47556930449632,47.012995679586254,47.012995679586254,0.0,0.0,0.0,0.4816607392321716,53
134,9Iron,B,True,True,True,46.26856330522946,48.32494389657299,41.964153774828745,41.964153774828745,0.0,0.0,0.0,0.6249831411648598,53
135,9Iron,B,False,True,False,42.55813745563135,44.838037676468744,47.24560907540158,34.102126543664156,-13.143482531737426,-18.000000000000004,-5.640000000000006,0.7309053419785503,28
136,9Iron,B,False,True,True,48.459055674269315,50.82836374690425,50.67335906965735,50.67335906965735,0.0,0.0,0.0,0.4433264278996048,40
137,9Iron,B,True,True,True,47.78849678578773,50.06839700662512,46.118199438797674,46.118199438797674,0.0,0.0,0.0,0.32984044092365394,36
142,9Iron,C,True,True,True,44.03336701029084,45.553300490849104,40.81541755378828,40.81541755378828,0.0,0.0,0.0,0.40684135258268683,32
143,9Iron,C,False,True,True,45.82152404624174,46.89441826781228,42.63115732405597,42.63115732405597,0.0,0.0,0.0,0.507011508123278,28
144,9Iron,C,True,True,True,45.329780861355246,47.20734574910368,44.14002359194853,44.14002359194853,0.0,0.0,0.0,0.4186418444298306,39
145,9Iron,C,True,True,True,46.849714341913504,48.727279229661946,46.43059895072574,46.43059895072574,0.0,0.0,0.0,0.5329375871983294,37
146,9Iron,C,True,True,True,41.1723157527694,41.88757856714977,41.17516113785682,41.17516113785682,0.0,0.0,0.0,0.2937655054581704,30
147,9Iron,C,True,True,True,46.00033974983683,48.012016415281586,43.677943081386545,43.677943081386545,0.0,0.0,0.0,0.5681354045573739,29
148,9Iron,C,False,True,True,45.86622797214051,47.833200711686494,43.02374222438128,43.02374222438128,0.0,0.0,0.0,0.531782450795085,39
149,9Iron,C,True,True,True,48.414351748370535,50.560140191511614,48.528103736906644,48.528103736906644,0.0,0.0,0.0,0.5208446501421776,37
150,9Iron,C,False,True,True,46.715602564217185,48.59316745196563,43.0045228626694,43.0045228626694,0.0,0.0,0.0,0.47914393522185694,40
151,9Iron,C,True,True,True,44.2568866397847,46.0450436757356,42.896186746426594,42.896186746426594,0.0,0.0,0.0,0.3254605589786652,31
152,7Iron,C,True,True,True,50.560140191511614,52.30359330156374,51.3390514463998,51.3390514463998,0.0,0.0,0.0,0.455689381467303,34
153,7Iron,C,False,True,False,50.560140191511614,52.5271129310576,55.095811836742826,46.98478372815991,-8.111028108582914,-6.000000000000002,0.0,0.5099486893102585,23
154,7Iron,C,False,True,True,50.291916636118984,52.08007367206988,46.30921452761061,46.30921452761061,0.0,0.0,0.0,0.3609431561739073,29
155,7Iron,C,False,True,False,44.122774862088384,45.77682012034297,48.026208469390156,41.21716103523654,-6.809047434153612,-5.999999999999998,0.0,0.3031815362353571,30
156,7Iron,C,False,True,True,50.291916636118984,52.035369746171106,45.30138945819334,45.30138945819334,0.0,0.0,0.0,0.4660945645538927,27
